ID;Accounts;Credit_duration;Credit_history;Purpose_credit;Credit_amount;Savings;Seniority_employment;Installment_rate;Marital_status;Guarantees;Seniority_residence;Assets;Age;Other_credits;Status_residence;Nb_credits;Job;Number_of_dependents;Telephone;Credit
75;1;36;A32;A46;1977;0;5;4;A93;A101;4;A124;40;A143;A152;1;A174;1;A192;2
76;1;12;A34;A41;1526;1;5;4;A93;A101;4;A124;66;A143;A153;2;A174;1;A191;1
77;1;42;A32;A43;3965;1;2;4;A93;A101;3;A123;34;A143;A152;1;A173;1;A191;2
78;2;11;A33;A43;4771;1;4;2;A93;A101;4;A122;51;A143;A152;1;A173;1;A191;1
79;4;54;A30;A41;9436;0;3;2;A93;A101;2;A122;39;A143;A152;1;A172;2;A191;1
80;2;30;A32;A42;3832;1;2;2;A94;A101;1;A122;22;A143;A152;1;A173;1;A191;1
81;4;24;A32;A43;5943;0;2;1;A92;A101;1;A123;44;A143;A152;2;A173;1;A192;2
82;4;15;A32;A43;1213;3;5;4;A93;A101;3;A122;47;A142;A152;1;A173;1;A192;1
83;4;18;A32;A49;1568;2;3;3;A92;A101;4;A122;24;A143;A151;1;A172;1;A191;1
84;1;24;A32;A41;1755;1;5;4;A92;A103;4;A121;58;A143;A152;1;A172;1;A192;1
85;1;10;A32;A43;2315;1;5;3;A93;A101;4;A121;52;A143;A152;1;A172;1;A191;1
86;4;12;A34;A49;1412;1;3;4;A92;A103;2;A121;29;A143;A152;2;A174;1;A192;1
87;2;18;A34;A42;1295;1;2;4;A92;A101;1;A122;27;A143;A152;2;A173;1;A191;1
88;2;36;A32;A46;12612;2;3;1;A93;A101;4;A124;47;A143;A153;1;A173;2;A192;2
89;1;18;A32;A40;2249;2;4;4;A93;A101;3;A123;30;A143;A152;1;A174;2;A192;1
90;1;12;A30;A45;1108;1;4;4;A93;A101;3;A121;28;A143;A152;2;A173;1;A191;2
91;4;12;A34;A43;618;1;5;4;A93;A101;4;A121;56;A143;A152;1;A173;1;A191;1
92;1;12;A34;A41;1409;1;5;4;A93;A101;3;A121;54;A143;A152;1;A173;1;A191;1
93;4;12;A34;A43;797;0;5;4;A92;A101;3;A122;33;A141;A152;1;A172;2;A191;2
94;3;24;A34;A42;3617;0;5;4;A93;A102;4;A124;20;A143;A151;2;A173;1;A191;1
95;2;12;A32;A40;1318;4;5;4;A93;A101;4;A121;54;A143;A152;1;A173;1;A192;1
96;2;54;A30;A49;15945;1;2;3;A93;A101;4;A124;58;A143;A151;1;A173;1;A192;2
97;4;12;A34;A46;2012;0;4;4;A92;A101;2;A123;61;A143;A152;1;A173;1;A191;1
98;2;18;A32;A49;2622;2;3;4;A93;A101;4;A123;34;A143;A152;1;A173;1;A191;1
99;2;36;A34;A43;2337;1;5;4;A93;A101;4;A121;36;A143;A152;1;A173;1;A191;1
100;2;20;A33;A41;7057;0;4;3;A93;A101;4;A122;36;A141;A151;2;A174;2;A192;1
101;4;24;A32;A40;1469;2;5;4;A94;A101;4;A121;41;A143;A151;1;A172;1;A191;1
102;2;36;A32;A43;2323;1;4;4;A93;A101;4;A123;24;A143;A151;1;A173;1;A191;1
103;4;6;A33;A43;932;1;3;3;A92;A101;2;A121;24;A143;A152;1;A173;1;A191;1
104;2;9;A34;A42;1919;1;4;4;A93;A101;3;A123;35;A143;A151;1;A173;1;A192;1
105;4;12;A32;A41;2445;0;2;2;A94;A101;4;A123;26;A143;A151;1;A173;1;A192;1
106;2;24;A34;A41;11938;1;3;2;A93;A102;3;A123;39;A143;A152;2;A174;2;A192;2
107;4;18;A31;A40;6458;1;5;2;A93;A101;4;A124;39;A141;A152;2;A174;2;A192;2
108;2;12;A32;A40;6078;1;4;2;A93;A101;2;A123;32;A143;A152;1;A173;1;A191;1
109;1;24;A32;A42;7721;0;2;1;A92;A101;2;A122;30;A143;A152;1;A173;1;A192;1
110;2;14;A32;A49;1410;3;5;1;A94;A101;2;A121;35;A143;A152;1;A173;1;A192;1
111;2;6;A33;A49;1449;2;5;1;A91;A101;2;A123;31;A141;A152;2;A173;2;A191;1
112;3;15;A32;A46;392;1;2;4;A92;A101;4;A122;23;A143;A151;1;A173;1;A192;1
113;2;18;A32;A40;6260;1;4;3;A93;A101;3;A121;28;A143;A151;1;A172;1;A191;1
114;4;36;A34;A40;7855;1;3;4;A92;A101;2;A121;25;A142;A152;2;A173;1;A192;2
115;1;12;A32;A43;1680;3;5;3;A94;A101;1;A121;35;A143;A152;1;A173;1;A191;1
116;4;48;A34;A43;3578;0;5;4;A93;A101;1;A121;47;A143;A152;1;A173;1;A192;1
117;1;42;A32;A43;7174;0;4;4;A92;A101;3;A123;30;A143;A152;1;A174;1;A192;2
118;1;10;A34;A42;2132;0;2;2;A92;A102;3;A121;27;A143;A151;2;A173;1;A191;1
119;1;33;A34;A42;4281;3;3;1;A92;A101;4;A123;23;A143;A152;2;A173;1;A191;2
120;2;12;A34;A40;2366;3;4;3;A91;A101;3;A123;36;A143;A152;1;A174;1;A192;1
121;1;21;A32;A43;1835;1;3;3;A92;A101;2;A121;25;A143;A152;2;A173;1;A192;2
122;4;24;A34;A41;3868;1;5;4;A92;A101;2;A123;41;A143;A151;2;A174;1;A192;1
123;4;12;A32;A42;1768;1;3;3;A93;A101;2;A121;24;A143;A151;1;A172;1;A191;1
124;3;10;A34;A40;781;1;5;4;A93;A101;4;A124;63;A143;A153;2;A173;1;A192;1
125;2;18;A32;A42;1924;0;2;4;A92;A101;3;A121;27;A143;A151;1;A173;1;A191;2
126;1;12;A34;A40;2121;1;3;4;A93;A101;2;A122;30;A143;A152;2;A173;1;A191;1
127;1;12;A32;A43;701;1;3;4;A94;A101;2;A121;40;A143;A152;1;A172;1;A191;1
128;2;12;A32;A45;639;1;3;4;A93;A101;2;A123;30;A143;A152;1;A173;1;A191;2
129;2;12;A34;A41;1860;1;1;4;A93;A101;2;A123;34;A143;A152;2;A174;1;A192;1
130;1;12;A34;A40;3499;1;3;3;A92;A102;2;A121;29;A143;A152;2;A173;1;A191;2
131;2;48;A32;A40;8487;0;4;1;A92;A101;2;A123;24;A143;A152;1;A173;1;A191;1
132;1;36;A33;A46;6887;1;3;4;A93;A101;3;A122;29;A142;A152;1;A173;1;A192;2
133;4;15;A32;A42;2708;1;2;2;A93;A101;3;A122;27;A141;A152;2;A172;1;A191;1
134;4;18;A32;A42;1984;1;3;4;A93;A101;4;A124;47;A141;A153;2;A173;1;A191;1
135;4;60;A32;A43;10144;2;4;2;A92;A101;4;A121;21;A143;A152;1;A173;1;A192;1
136;4;12;A34;A43;1240;0;5;4;A92;A101;2;A121;38;A143;A152;2;A173;1;A192;1
137;4;27;A33;A41;8613;4;3;2;A93;A101;2;A123;27;A143;A152;2;A173;1;A191;1
138;2;12;A32;A43;766;3;3;4;A93;A101;3;A121;66;A143;A152;1;A172;1;A191;2
139;2;15;A34;A43;2728;0;4;4;A93;A103;2;A121;35;A141;A152;3;A173;1;A192;1
140;3;12;A32;A43;1881;1;3;2;A92;A101;2;A123;44;A143;A151;1;A172;1;A192;1
141;3;6;A32;A40;709;4;2;2;A94;A101;2;A121;27;A143;A152;1;A171;1;A191;1
142;2;36;A32;A43;4795;1;2;4;A92;A101;1;A124;30;A143;A152;1;A174;1;A192;1
143;1;27;A32;A43;3416;1;3;3;A93;A101;2;A123;27;A143;A152;1;A174;1;A191;1
144;1;18;A32;A42;2462;1;3;2;A93;A101;2;A123;22;A143;A152;1;A173;1;A191;2
145;4;21;A34;A42;2288;1;2;4;A92;A101;4;A122;23;A143;A152;1;A173;1;A192;1
146;2;48;A31;A49;3566;2;4;4;A93;A101;2;A123;30;A143;A152;1;A173;1;A191;1
147;1;6;A34;A40;860;1;5;1;A92;A101;4;A124;39;A143;A152;2;A173;1;A192;1
148;4;12;A34;A40;682;2;4;4;A92;A101;3;A123;51;A143;A152;2;A173;1;A192;1
149;1;36;A34;A42;5371;1;3;3;A93;A103;2;A122;28;A143;A152;2;A173;1;A191;1
150;4;18;A34;A43;1582;4;5;4;A93;A101;4;A123;46;A143;A152;2;A173;1;A191;1
151;4;6;A32;A43;1346;2;5;2;A93;A101;4;A124;42;A141;A153;1;A173;2;A192;1
152;4;10;A32;A43;1924;1;3;1;A93;A101;4;A122;38;A143;A152;1;A173;1;A192;1
153;3;36;A32;A43;5848;1;3;4;A93;A101;1;A123;24;A143;A152;1;A173;1;A191;1
154;2;24;A34;A41;7758;4;5;2;A92;A101;4;A124;29;A143;A151;1;A173;1;A191;1
155;2;24;A33;A49;6967;2;4;4;A93;A101;4;A123;36;A143;A151;1;A174;1;A192;1
156;1;12;A32;A42;1282;1;3;2;A92;A101;4;A123;20;A143;A151;1;A173;1;A191;2
157;1;9;A34;A45;1288;2;5;3;A93;A103;4;A121;48;A143;A152;2;A173;2;A191;1
158;1;12;A31;A48;339;1;5;4;A94;A101;1;A123;45;A141;A152;1;A172;1;A191;1
159;2;24;A32;A40;3512;2;4;2;A93;A101;3;A123;38;A141;A152;2;A173;1;A192;1
160;4;6;A34;A43;1898;0;3;1;A93;A101;2;A121;34;A143;A152;2;A172;2;A191;1
161;4;24;A34;A43;2872;2;5;3;A93;A101;4;A121;36;A143;A152;1;A173;2;A192;1
162;4;18;A34;A40;1055;1;2;4;A92;A101;1;A122;30;A143;A152;2;A173;1;A191;1
163;4;15;A32;A44;1262;3;4;4;A93;A101;3;A122;36;A143;A152;2;A173;1;A192;1
164;2;10;A32;A40;7308;1;1;2;A93;A101;4;A124;70;A141;A153;1;A174;1;A192;1
165;4;36;A32;A40;909;3;5;4;A93;A101;4;A122;36;A143;A152;1;A173;1;A191;1
166;4;6;A32;A42;2978;3;3;1;A93;A101;2;A123;32;A143;A152;1;A173;1;A192;1
167;1;18;A32;A42;1131;1;1;4;A92;A101;2;A123;33;A143;A152;1;A173;1;A191;2
168;2;11;A32;A42;1577;4;2;4;A92;A101;1;A121;20;A143;A152;1;A173;1;A191;1
169;4;24;A32;A42;3972;1;4;2;A92;A101;4;A122;25;A143;A151;1;A173;1;A192;1
170;2;24;A34;A49;1935;1;5;4;A91;A101;4;A121;31;A143;A152;2;A173;1;A192;2
171;1;15;A30;A40;950;1;5;4;A93;A101;3;A123;33;A143;A151;2;A173;2;A191;2
172;4;12;A32;A42;763;1;3;4;A92;A101;1;A121;26;A143;A152;1;A173;1;A192;1
173;2;24;A33;A42;2064;1;1;3;A92;A101;2;A122;34;A143;A152;1;A174;1;A192;2
174;2;8;A32;A43;1414;1;3;4;A93;A103;2;A121;33;A143;A152;1;A173;1;A191;1
175;1;21;A33;A46;3414;1;2;2;A93;A101;1;A122;26;A143;A152;2;A173;1;A191;2
176;4;30;A31;A41;7485;0;1;4;A92;A101;1;A121;53;A141;A152;1;A174;1;A192;2
177;1;12;A32;A42;2577;1;3;2;A91;A101;1;A123;42;A143;A152;1;A173;1;A191;1
178;1;6;A34;A43;338;3;5;4;A93;A101;4;A123;52;A143;A152;2;A173;1;A191;1
179;4;12;A32;A43;1963;1;4;4;A93;A101;2;A123;31;A143;A151;2;A174;2;A192;1
180;1;21;A34;A40;571;1;5;4;A93;A101;4;A121;65;A143;A152;2;A173;1;A191;1
181;4;36;A33;A49;9572;1;2;1;A91;A101;1;A123;28;A143;A152;2;A173;1;A191;2
182;2;36;A33;A49;4455;1;3;2;A91;A101;2;A121;30;A142;A152;2;A174;1;A192;2
183;1;21;A31;A40;1647;0;3;4;A93;A101;2;A122;40;A143;A152;2;A172;2;A191;2
184;4;24;A34;A42;3777;4;3;4;A93;A101;4;A121;50;A143;A152;1;A173;1;A192;1
185;2;18;A34;A40;884;1;5;4;A93;A101;4;A123;36;A141;A152;1;A173;2;A192;2
186;4;15;A34;A43;1360;1;3;4;A93;A101;2;A122;31;A143;A152;2;A173;1;A191;1
187;2;9;A31;A41;5129;1;5;2;A92;A101;4;A124;74;A141;A153;1;A174;2;A192;2
188;2;16;A34;A40;1175;1;1;2;A93;A101;3;A123;68;A143;A153;3;A171;1;A192;1
189;1;12;A32;A43;674;2;4;4;A94;A101;1;A122;20;A143;A152;1;A173;1;A191;2
190;2;18;A30;A42;3244;1;3;1;A92;A101;4;A123;33;A141;A152;2;A173;1;A192;1
191;4;24;A32;A49;4591;4;3;2;A93;A101;3;A122;54;A143;A152;3;A174;1;A192;2
192;2;48;A30;A49;3844;2;4;4;A93;A101;4;A124;34;A143;A153;1;A172;2;A191;2
193;2;27;A32;A49;3915;1;3;4;A93;A101;2;A123;36;A143;A152;1;A173;2;A192;2
194;4;6;A32;A43;2108;1;4;2;A94;A101;2;A121;29;A143;A151;1;A173;1;A191;1
195;2;45;A32;A43;3031;2;3;4;A93;A103;4;A122;21;A143;A151;1;A173;1;A191;2
196;2;9;A34;A46;1501;1;5;2;A92;A101;3;A123;34;A143;A152;2;A174;1;A192;2
197;4;6;A34;A43;1382;1;3;1;A92;A101;1;A123;28;A143;A152;2;A173;1;A192;1
198;2;12;A32;A42;951;2;2;4;A92;A101;4;A123;27;A141;A151;4;A173;1;A191;2
199;2;24;A32;A41;2760;0;5;4;A93;A101;4;A124;36;A141;A153;1;A173;1;A192;1
200;2;18;A33;A42;4297;1;5;4;A91;A101;3;A124;40;A143;A152;1;A174;1;A192;2
201;4;9;A34;A46;936;3;5;4;A93;A101;2;A123;52;A143;A152;2;A173;1;A192;1
202;1;12;A32;A40;1168;1;3;4;A94;A101;3;A121;27;A143;A152;1;A172;1;A191;1
203;4;27;A33;A49;5117;1;4;3;A93;A101;4;A123;26;A143;A152;2;A173;1;A191;1
204;1;12;A32;A48;902;1;4;4;A94;A101;4;A122;21;A143;A151;1;A173;1;A191;2
205;4;12;A34;A40;1495;1;5;4;A93;A101;1;A121;38;A143;A152;2;A172;2;A191;1
206;1;30;A34;A41;10623;1;5;3;A93;A101;4;A124;38;A143;A153;3;A174;2;A192;1
207;4;12;A34;A42;1935;1;5;4;A93;A101;4;A121;43;A143;A152;3;A173;1;A192;1
208;2;12;A34;A44;1424;1;4;4;A93;A101;3;A122;26;A143;A152;1;A173;1;A191;1
209;1;24;A32;A49;6568;1;3;2;A94;A101;2;A123;21;A142;A152;1;A172;1;A191;1
210;4;12;A32;A41;1413;4;4;3;A93;A101;2;A122;55;A143;A152;1;A173;1;A191;1
211;4;9;A34;A43;3074;0;3;1;A93;A101;2;A121;33;A143;A152;2;A173;2;A191;1
212;4;36;A32;A43;3835;0;5;2;A92;A101;4;A121;45;A143;A152;1;A172;1;A192;1
213;1;27;A30;A49;5293;1;1;2;A93;A101;4;A122;50;A142;A152;2;A173;1;A192;2
214;3;30;A33;A49;1908;1;5;4;A93;A101;4;A121;66;A143;A152;1;A174;1;A192;2
215;4;36;A34;A43;3342;0;5;4;A93;A101;2;A123;51;A143;A152;1;A173;1;A192;1
216;2;6;A34;A48;932;0;4;1;A92;A101;3;A122;39;A143;A152;2;A172;1;A191;1
217;1;18;A30;A49;3104;1;4;3;A93;A101;1;A122;31;A141;A152;1;A173;1;A192;1
218;3;36;A32;A43;3913;1;3;2;A93;A101;2;A121;23;A143;A152;1;A173;1;A192;1
219;1;24;A32;A42;3021;1;3;2;A91;A101;2;A121;24;A143;A151;1;A172;1;A191;1
220;4;10;A32;A40;1364;1;3;2;A92;A101;4;A123;64;A143;A152;1;A173;1;A192;1
221;2;12;A32;A43;625;1;2;4;A94;A103;1;A121;26;A141;A152;1;A172;1;A191;1
222;1;12;A32;A46;1200;0;3;4;A92;A101;4;A122;23;A141;A151;1;A173;1;A192;1
223;4;12;A32;A43;707;1;3;4;A93;A101;2;A121;30;A141;A152;2;A173;1;A191;1
224;4;24;A33;A49;2978;0;3;4;A93;A101;4;A121;32;A143;A152;2;A173;2;A192;1
225;4;15;A32;A41;4657;1;3;3;A93;A101;2;A123;30;A143;A152;1;A173;1;A192;1
226;4;36;A30;A45;2613;1;3;4;A93;A101;2;A123;27;A143;A152;2;A173;1;A191;1
227;2;48;A32;A43;10961;4;4;1;A93;A102;2;A124;27;A141;A152;2;A173;1;A192;2
228;1;12;A32;A42;7865;1;5;4;A93;A101;4;A124;53;A143;A153;1;A174;1;A192;2
229;4;9;A32;A43;1478;1;4;4;A93;A101;2;A123;22;A143;A152;1;A173;1;A191;2
230;1;24;A32;A42;3149;1;2;4;A93;A101;1;A124;22;A141;A153;1;A173;1;A191;1
231;3;36;A32;A43;4210;1;3;4;A93;A101;2;A123;26;A143;A152;1;A173;1;A191;2
232;4;9;A32;A40;2507;3;5;2;A93;A101;4;A124;51;A143;A153;1;A172;1;A191;1
233;4;12;A32;A43;2141;2;4;3;A93;A101;1;A124;35;A143;A152;1;A173;1;A191;1
234;2;18;A32;A43;866;1;3;4;A94;A103;2;A121;25;A143;A152;1;A172;1;A191;1
235;4;4;A34;A43;1544;1;4;2;A93;A101;1;A121;42;A143;A152;3;A172;2;A191;1
236;1;24;A32;A43;1823;1;1;4;A93;A101;2;A123;30;A142;A152;1;A174;2;A191;2
237;2;6;A32;A40;14555;0;1;1;A93;A101;2;A122;23;A143;A152;1;A171;1;A192;2
238;2;21;A32;A49;2767;2;5;4;A91;A101;2;A123;61;A141;A151;2;A172;1;A191;2
239;4;12;A34;A43;1291;1;3;4;A92;A101;2;A122;35;A143;A152;2;A173;1;A191;1
240;1;30;A32;A43;2522;1;5;1;A93;A103;3;A122;39;A143;A152;1;A173;2;A191;1
241;1;24;A32;A40;915;0;5;4;A92;A101;2;A123;29;A141;A152;1;A173;1;A191;2
242;4;6;A32;A43;1595;1;4;3;A93;A101;2;A122;51;A143;A152;1;A173;2;A191;1
243;1;48;A30;A41;4605;1;5;3;A93;A101;4;A124;24;A143;A153;2;A173;2;A191;2
244;4;12;A34;A49;1185;1;3;3;A92;A101;2;A121;27;A143;A152;2;A173;1;A191;1
245;4;12;A31;A48;3447;3;3;4;A92;A101;3;A121;35;A143;A152;1;A172;2;A191;1
246;4;24;A32;A49;1258;1;4;4;A93;A101;1;A121;25;A143;A152;1;A173;1;A192;1
247;4;12;A34;A43;717;1;5;4;A93;A101;4;A121;52;A143;A152;3;A173;1;A191;1
248;4;6;A30;A40;1204;2;3;4;A93;A101;1;A124;35;A141;A151;1;A173;1;A191;1
249;3;24;A32;A42;1925;1;3;2;A93;A101;2;A121;26;A143;A152;1;A173;1;A191;1
250;4;18;A32;A43;433;1;1;3;A92;A102;4;A121;22;A143;A151;1;A173;1;A191;2
251;1;6;A34;A40;666;4;4;3;A92;A101;4;A121;39;A143;A152;2;A172;1;A192;1
252;3;12;A32;A42;2251;1;3;1;A92;A101;2;A123;46;A143;A152;1;A172;1;A191;1
253;2;30;A32;A40;2150;1;3;4;A92;A103;2;A124;24;A141;A152;1;A173;1;A191;2
254;4;24;A33;A42;4151;2;3;2;A93;A101;3;A122;35;A143;A152;2;A173;1;A191;1
255;2;9;A32;A42;2030;0;4;2;A93;A101;1;A123;24;A143;A152;1;A173;1;A192;1
256;2;60;A33;A43;7418;0;3;1;A93;A101;1;A121;27;A143;A152;1;A172;1;A191;1
257;4;24;A34;A43;2684;1;3;4;A93;A101;2;A121;35;A143;A152;2;A172;1;A191;1
258;1;12;A31;A43;2149;1;3;4;A91;A101;1;A124;29;A143;A153;1;A173;1;A191;2
259;4;15;A32;A41;3812;2;2;1;A92;A101;4;A123;23;A143;A152;1;A173;1;A192;1
260;4;11;A34;A43;1154;2;1;4;A92;A101;4;A121;57;A143;A152;3;A172;1;A191;1
261;1;12;A32;A42;1657;1;3;2;A93;A101;2;A121;27;A143;A152;1;A173;1;A191;1
262;1;24;A32;A43;1603;1;5;4;A92;A101;4;A123;55;A143;A152;1;A173;1;A191;1
263;1;18;A34;A40;5302;1;5;2;A93;A101;4;A124;36;A143;A153;3;A174;1;A192;1
264;4;12;A34;A46;2748;1;5;2;A92;A101;4;A124;57;A141;A153;3;A172;1;A191;1
265;4;10;A34;A40;1231;1;5;3;A93;A101;4;A121;32;A143;A152;2;A172;2;A191;1
