AGE;TARGET
41;O
38;O
29;N
44;O
42;O
37;N
46;O
39;O
38;N
54;O
36;N
58;O
45;N
43;O
43;O
44;O
42;N
40;N
44;N
38;N
36;O
37;N
43;N
37;O
39;N
37;N
46;N
35;O
44;N
51;O
33;O
46;O
35;N
36;N
37;O
43;N
40;N
40;N
42;N
40;N
46;O
55;O
46;O
46;N
53;N
42;N
33;O
48;N
34;O
41;O
48;N
39;O
33;N
34;N
45;N
42;N
38;N
42;N
32;O
38;O
43;N
47;O
47;O
45;N
33;N
44;O
42;O
30;N
34;N
43;N
50;N
41;O
34;N
39;O
43;N
38;N
44;O
36;N
43;O
40;O
39;N
39;O
39;O
39;O
52;O
41;N
51;O
52;O
36;O
42;N
41;O
58;O
46;N
43;N
32;N
44;N
42;O
41;O
47;N
34;O
40;N
43;N
45;N
35;N
35;N
44;N
34;N
41;N
35;O
44;O
38;N
38;O
51;N
42;N
41;N
42;O
44;O
44;N
45;O
42;N
32;N
37;O
65;O
38;N
44;N
36;O
37;O
45;O
29;O
44;O
41;O
38;O
42;N
47;N
51;O
34;O
36;O
44;N
34;N
43;N
33;O
45;N
36;N
59;O
39;N
49;O
39;O
47;O
45;O
54;O
46;O
64;O
42;N
37;O
37;N
37;N
43;N
46;O
46;O
41;N
46;N
34;N
38;N
34;O
51;O
44;O
47;O
36;N
43;N
35;N
32;O
43;N
37;O
35;O
39;O
47;N
39;O
38;N
39;N
39;N
47;N
38;N
41;O
34;N
36;N
35;O
34;N
41;N
38;O
36;N
54;O
45;O
39;N
41;N
46;O
41;N
37;N
45;O
42;N
46;N
42;N
38;O
55;O
44;N
42;O
45;N
39;N
48;N
37;O
44;N
37;N
43;O
35;O
43;N
45;N
36;O
47;N
42;N
47;N
39;O
34;N
35;O
43;O
44;N
40;N
34;O
40;N
39;O
41;O
50;O
43;N
43;O
56;O
49;O
46;O
48;N
34;O
46;N
62;N
41;N
31;N
41;O
43;N
34;O
45;N
39;O
48;N
42;N
44;N
39;N
48;N
32;O
34;O
40;O
66;N
41;N
41;N
38;O
60;O
31;N
44;O
35;N
35;N
42;N
34;O
37;O
35;N
33;N
47;N
43;N
38;N
34;O
39;N
39;N
35;N
48;N
46;N
45;N
46;O
41;O
37;O
40;O
42;O
45;O
40;N
43;N
43;N
40;O
36;O
42;O
34;O
44;N
55;O
44;O
34;N
31;O
41;O
38;N
36;N
39;N
46;N
36;N
43;N
31;O
44;O
41;N
34;O
38;N
49;O
44;O
41;O
41;O
42;N
38;N
38;N
37;O
36;N
47;O
42;O
41;O
38;N
43;O
41;N
36;O
34;N
48;O
34;O
42;N
39;N
38;O
40;N
39;N
35;N
34;N
35;O
37;O
38;O
42;N
39;O
43;O
42;N
41;O
36;O
40;O
47;O
38;O
43;O
52;O
43;N
35;O
38;O
40;O
41;N
71;N
39;N
46;O
31;N
37;N
45;O
38;N
40;N
42;N
39;N
46;N
46;O
42;N
41;N
38;N
43;N
36;N
37;O
39;N
36;O
35;N
40;O
42;N
56;O
43;N
45;N
39;N
50;N
39;O
36;O
36;N
33;N
36;N
31;N
56;O
41;O
46;O
41;N
40;N
48;N
35;N
40;O
41;N
41;N
37;N
35;N
40;N
54;O
40;N
41;O
47;N
43;N
34;N
31;O
34;N
32;O
30;O
42;N
37;N
43;O
44;O
40;O
37;N
32;N
38;N
37;N
35;O
42;N
33;N
31;O
37;N
33;N
31;N
32;N
36;O
39;O
44;N
30;O
32;O
34;N
38;N
43;O
47;O
41;N
33;O
40;O
33;N
36;N
56;O
34;O
41;N
37;N
34;O
36;N
46;N
28;N
30;O
45;O
27;N
60;O
48;N
37;O
45;N
33;O
33;N
36;N
39;O
51;O
36;N
36;N
29;O
42;N
30;O
47;O
45;O
38;O
47;O
34;O
31;N
36;O
30;N
51;O
38;N
36;N
29;O
40;N
34;O
38;N
32;N
33;O
33;N
42;O
34;N
37;N
47;O
40;O
30;O
34;N
33;O
31;N
36;N
36;N
38;O
36;N
35;N
39;N
38;N
37;N
40;N
38;O
35;O
43;O
34;N
40;N
40;N
43;N
41;N
29;O
38;N
37;O
35;N
33;O
38;O
30;O
31;N
34;O
35;N
34;O
33;N
44;N
39;N
39;N
41;O
42;N
43;N
37;N
45;N
41;N
41;O
36;N
32;N
30;O
39;N
34;N
31;O
32;O
35;O
31;O
32;O
41;N
49;N
33;O
33;O
42;N
51;N
45;O
42;O
43;O
45;N
34;O
49;O
36;N
42;N
37;N
35;O
44;N
29;N
26;O
34;N
43;N
30;N
52;O
36;O
47;O
38;O
49;N
39;N
37;O
32;N
45;O
31;N
37;N
42;N
42;O
37;O
40;N
39;N
49;O
32;O
27;O
44;O
32;O
48;O
45;O
31;N
43;O
29;O
34;O
34;O
40;O
34;O
31;O
27;O
34;N
29;N
34;N
39;N
41;O
41;N
35;N
42;O
30;O
32;N
38;N
31;O
39;N
44;N
31;N
45;N
31;N
32;N
29;O
35;N
35;O
37;N
37;O
37;O
43;N
42;N
31;N
32;N
32;O
40;O
32;O
28;N
37;N
39;N
38;O
38;N
29;O
47;O
33;N
35;N
38;N
33;O
28;O
27;O
40;N
31;N
39;N
33;N
32;O
29;O
45;O
38;O
35;O
32;O
42;O
32;O
30;N
29;N
41;O
43;O
29;O
37;N
45;N
26;O
36;N
48;N
46;N
30;O
32;O
29;O
28;N
30;O
39;N
34;N
34;O
36;O
57;N
43;N
37;O
34;N
32;O
36;O
36;O
31;N
27;O
40;N
29;O
33;O
25;O
36;N
27;O
32;N
39;N
26;N
45;N
61;O
34;O
43;O
44;N
31;O
30;O
28;N
37;O
41;O
25;O
30;O
37;O
41;O
34;N
60;O
27;O
41;N
27;O
56;O
33;N
42;N
28;O
39;N
32;O
40;N
34;O
42;N
29;N
49;O
31;O
30;N
35;O
28;O
42;O
49;O
31;O
43;N
40;N
35;N
39;O
44;N
39;O
26;N
27;O
38;O
31;O
28;N
38;O
25;O
31;O
31;O
32;O
36;N
35;O
46;N
41;N
50;N
40;O
55;O
35;N
53;O
34;N
35;O
47;N
27;O
28;O
29;O
34;O
29;O
33;N
36;O
32;O
28;N
27;N
30;N
34;O
26;O
29;O
37;O
43;O
27;O
29;N
30;O
36;O
30;O
28;N
26;O
32;O
40;N
37;N
27;O
30;O
28;O
31;O
36;O
32;O
37;O
28;N
52;O
36;O
37;N
28;O
36;O
37;N
28;O
45;O
33;O
36;O
32;N
25;O
22;O
30;O
35;O
24;N
42;N
30;N
40;N
35;N
43;O
34;N
37;O
36;N
29;O
40;N
26;O
69;N
43;N
36;N
28;O
32;O
39;N
27;O
31;O
61;O
22;N
29;N
32;O
31;N
27;O
30;O
38;N
21;N
27;O
34;O
31;N
23;N
32;N
37;O
42;N
71;N
23;N
47;O
52;O
39;O
31;N
36;O
34;N
33;O
54;N
36;N
55;O
45;N
35;N
30;N
45;O
30;O
30;O
27;N
26;O
25;N
29;O
59;O
31;O
36;O
48;N
62;O
22;O
34;N
91;N
25;N
33;N
32;O
34;N
26;N
27;N
30;O
25;O
33;N
37;N
40;O
33;N
39;N
29;N
24;O
36;N
28;O
29;N
59;O
46;O
40;O
36;N
26;N
31;N
38;O
29;O
26;O
30;O
38;O
30;N
45;N
35;O
25;O
50;O
28;O
39;O
29;O
38;N
33;N
38;O
36;N
28;O
47;O
44;N
44;N
32;N
46;N
38;N
28;O
30;N
40;N
40;N
32;N
25;O
28;N
39;N
66;O
31;N
29;O
28;N
35;N
45;O
30;N
28;N
31;O
30;O
41;O
32;O
39;N
29;O
46;O
29;O
25;O
45;N
37;O
60;N
25;O
44;N
35;N
36;O
49;N
28;N
23;N
27;O
28;N
28;N
29;O
37;N
32;O
38;N
37;O
32;N
43;N
33;N
34;N
81;N
36;O
47;O
30;N
25;O
28;O
23;O
21;O
32;N
62;O
24;O
41;O
26;O
39;N
38;N
24;O
27;N
31;N
24;O
27;O
34;N
25;N
37;N
24;O
27;O
25;O
44;O
29;N
41;O
41;N
34;O
32;O
22;O
26;O
28;O
24;O
29;N
23;N
41;N
30;N
20;O
42;O
25;N
39;O
27;O
24;N
36;N
27;O
28;O
37;O
29;N
25;N
30;N
25;O
31;N
31;N
23;N
32;O
28;N
34;O
42;N
42;O
34;N
25;O
27;N
28;N
41;N
29;N
22;N
30;N
26;O
30;N
27;O
54;O
22;O
29;O
32;N
51;N
