id;age;income;seniority;nbpoints;nbproducts;nbpurchases;usecredit;changeconsum;subscription;subscription2;response
72;29;585.92;13;1;4;10;0;1;0;5.37;O
73;53;781.71;21;1;9;36;0;1;0;49.75;O
74;23;557.2;7;1;7;26;0;0.86;0;14.56;N
75;41;750.38;21;2;14;26;114.65;1.25;3048.11;26.25;O
76;49;1932.71;14;1;16;59;0;1.13;0;41.35;N
77;43;1263.7;16;2;10;48;0;1.22;0;98.76;N
78;32;1355.94;12;2;8;55;0;1;0;0;N
79;27;942.42;11;0;4;25;0;1;0;0;N
80;20;941.53;4;2;13;43;2.03;1.27;0;82.31;O
81;29;831.99;13;1;6;22;0;1;0;0;N
82;20;925.6;4;2;12;35;192.05;1.27;190.56;68.73;N
83;31;751.17;12;2;10;30;51.79;1;1175.78;24.41;O
84;28;1019.83;11;1;11;16;0;1;0;50.3;N
85;47;720.33;16;3;14;18;291.21;1.33;1652.75;81.63;N
86;56;2445.53;15;1;9;27;0;1;0;38.77;O
87;49;2232.6;15;1;7;49;0;1;0;6.66;N
88;56;1477.43;21;1;10;17;0;1;0;10.69;O
89;40;844.39;21;1;8;9;0;1.83;0;8.03;O
90;26;610.77;10;1;7;25;0;1.8;0;16.3;O
91;49;2027.21;7;2;8;62;47.56;1;422.13;13.02;N
92;28;1009.75;7;1;8;50;14.81;1.5;508.11;0;N
93;46;851.25;28;2;15;29;91.47;1.23;2703.04;36.96;O
94;45;1060.08;28;1;13;32;32.52;1.36;562.56;47.07;N
95;36;834.88;20;2;16;38;83.85;1.07;3016.81;15.43;O
96;82;1464.48;11;2;11;22;0;1.2;0;66.25;N
97;54;1650.75;21;2;9;42;73.68;1;2041.97;65.09;N
98;33;1041.5;16;2;12;22;78.76;1.4;2407.83;27.36;O
99;40;920.51;20;2;8;11;0;1;0;26.88;O
100;33;1958.66;15;2;13;36;0;1;0;18.44;N
101;37;143.42;19;1;14;42;0;1.15;0;69.28;O
102;46;3316.42;16;2;13;56;43.1;1;1.16;29.92;N
103;43;1587.92;20;1;10;50;0;1.1;0;0;N
104;70;1018.99;15;2;10;20;0;1.38;0;63.54;N
105;43;1210.4;15;1;7;30;0;1;0;0;N
106;70;240.66;21;0;8;8;0;0.88;0;68.27;N
107;29;2296.36;11;1;10;41;0;1;0;68.2;N
108;21;1760.24;5;3;14;69;15.04;1.23;43.1;106.37;N
109;22;1037.65;6;2;12;43;30.86;1;12.7;136.31;N
110;31;1334.84;10;1;11;48;0;1.33;0;30.67;N
111;29;707.27;8;1;6;13;0;0.83;0;16.97;N
112;24;1053.65;8;2;10;27;1.36;1.5;0;96.05;N
113;24;723.7;7;2;13;33;94.3;1.36;95.17;94.38;N
114;24;986.46;7;2;13;20;66.06;1.17;1447.44;6.82;O
115;45;1166.07;21;1;4;52;0;1;0;9.48;N
116;46;113.12;13;1;7;13;0;0.86;0;49.1;O
117;25;633.51;9;2;11;23;19.51;1.63;258.75;9.47;N
118;41;149.96;6;1;3;5;0;1;0;0;N
119;47;1559.5;6;1;12;24;0;1.18;0;63.37;N
120;71;0;15;0;8;1;0;1;0;57.03;N
121;46;1535.65;16;2;10;36;69.01;1.11;1640.64;6.96;N
122;22;589.27;6;1;8;36;0;1.14;0;9.71;N
123;27;15.93;11;2;8;17;43.45;1.43;192.5;3.71;O
124;19;306.15;3;1;8;10;0;1.67;0;72.76;N
125;35;509.59;17;1;3;13;0;1;0;0;N
126;49;682.26;8;2;11;24;62.61;0.83;1156.42;69.68;O
127;45;1885.19;21;0;8;2;0;1;0;15.56;O
128;18;412.12;2;1;7;28;0;1.8;0;10.52;N
129;28;667.27;10;1;11;29;0;0.91;0;40.45;N
130;21;547.19;5;2;10;44;59.61;1.63;1071.33;19.48;O
131;40;1441.41;21;1;4;36;0;1;0;0;N
132;36;1467.15;20;1;9;22;0;1.13;0;6.61;N
133;38;1224.8;21;2;10;50;51.12;1.22;477.28;0;N
134;38;603.26;15;1;6;25;0;1.75;0;0;O
135;46;98.73;21;0;8;1;0;1;0;53.7;N
136;71;582.61;21;1;13;16;0;1.27;0;65.28;N
137;58;1012.99;21;1;8;20;0;1;0;61.65;N
138;27;1089.44;11;2;11;20;12.45;1.44;247.63;100.36;O
139;62;1994.54;26;2;10;37;411.2;0.9;3267.5;47.03;N
140;65;433.98;18;1;9;11;0;1;0;7.91;N
141;50;859.5;16;1;3;36;0;1;0;0;N
142;37;109.66;12;0;1;5;0;1;0;0;N
143;44;427.63;11;1;5;12;0;1.25;0;6.09;N
144;28;1740.58;8;2;11;43;241.09;1.09;240.11;7.22;O
145;25;729.95;7;1;7;34;0;1;0;10.03;N
146;39;1906.85;13;1;14;29;0;1;0;45.63;N
147;54;398.8;21;2;13;10;2.03;1.5;0;8.08;N
148;21;6.74;5;1;7;15;0;1;0;48.06;O
149;45;1267.88;24;1;9;42;0;1;0;73.88;O
150;45;67.07;14;0;6;1;;1;0;0;N
151;40;916.53;20;2;12;42;0;1.3;0;32.66;N
152;55;1026.49;21;2;16;24;137.2;1.07;3626.02;67.51;N
153;33;834.24;17;1;6;40;0;1;0;0;N
154;47;932.87;21;2;12;32;57.88;1.27;1380.81;77.32;N
155;28;736.85;9;1;3;14;0;1;0;0;N
156;27;880.26;9;2;15;27;91.48;1.14;1673.49;82.79;N
157;38;1207.33;17;1;4;39;0;1;0;16.07;N
158;26;818.53;10;1;5;24;0;1;0;21.7;N
159;77;885.59;25;1;7;13;0;1;0;61.4;N
160;40;1384.66;9;1;9;41;0;1.25;0;50.21;N
161;25;1409.83;9;1;10;28;0;1;0;95.73;N
162;44;403.98;21;3;14;23;62.2;1.45;1157;36.06;O
163;38;1354.89;21;1;14;41;0;1.33;0;44.24;N
164;47;1387.23;20;2;10;39;106.64;0.9;660.08;0;O
165;48;1687.27;10;2;12;47;137.2;1;1668.33;83.05;N
166;35;587.67;10;1;14;13;0;1;0;88.81;N
167;49;1974.46;10;2;10;56;60.98;1.5;1405.35;127.47;N
168;26;624.55;7;2;9;34;12.45;2.4;168.81;5.32;N
169;45;2720.85;21;2;12;30;214.85;1;5978.3;45.74;N
170;57;1221.23;20;2;11;29;178.43;1.2;942.78;37.54;O
171;32;2259.19;9;2;10;64;62.25;1;1446.12;102.75;O
172;26;1062.7;8;1;11;36;119.13;0.83;237.04;27.17;N
173;44;763.84;8;0;3;1;0;1;0;0;N
174;45;431.59;8;2;10;21;60.98;1.71;1508.71;15.21;O
175;59;302.64;21;2;13;19;372.23;1.25;2463.94;42.33;N
176;50;1865.58;21;1;11;22;0;1;0;60.34;N
177;37;1708.48;21;1;11;32;0;1;0;28.25;O
178;42;1547.4;11;3;12;42;60.98;1.56;1516.95;27.47;N
179;36;388.45;16;1;5;9;0;1;0;0;N
180;38;1605.66;19;2;9;48;69.11;1;1745.52;43.26;O
181;31;373.62;15;1;6;31;0;1.2;0;20.77;N
182;33;230.02;16;2;13;20;60.98;1.17;1302.23;160;O
183;29;714.98;13;2;14;35;91.47;1.15;2867.66;115.45;O
184;23;792.85;7;2;9;30;0;1;0;16.65;N
185;42;2725.82;21;1;3;10;0;1;0;0;N
186;29;1212.9;13;1;9;30;0;1;0;13.15;O
187;44;1916.42;21;1;7;47;0;0.86;0;0;N
188;64;567.11;21;1;16;14;0;1.29;0;69.36;N
189;28;537.21;10;1;12;23;0;1.09;0;57.97;N
190;31;1494.55;14;2;11;53;149.11;1.2;1092.06;191.12;O
191;46;634.82;14;2;6;24;0;1;0;0;O
192;45;2125.25;20;1;11;37;0;1;0;45.61;N
193;47;0;19;1;3;1;0;1;0;0;N
194;45;673.19;14;0;4;9;;;0;2.88;N
195;51;800.76;24;1;11;22;164.78;1.2;1347.04;83.8;N
196;40;228;12;1;4;25;0;1;0;0;N
197;36;1534.67;20;2;10;44;26.39;1.86;285.64;65.95;N
198;40;362.79;10;2;9;16;85.2;1.13;2770.57;38.54;N
199;43;1302.18;21;1;5;27;0;0.8;0;0;N
200;39;2548.13;21;1;10;37;;;0;0;O
201;38;1844.83;21;1;19;41;0;1;0;37.16;N
202;39;760.28;14;0;5;2;0;1;0;0;N
203;57;878.69;15;1;10;31;0;1.5;0;15.93;N
204;24;291.01;8;1;7;12;0;1;0;18.12;N
205;29;738.22;13;2;7;26;19.57;1.33;264.51;22.17;N
206;57;961.89;21;1;14;12;0;1;0;57.37;N
207;39;2035.18;10;2;10;49;120.69;1.22;1744.73;51.86;N
208;73;637.14;10;1;10;22;0;1.5;0;63.91;N
209;25;1308.34;9;2;13;28;69.7;1.36;630.47;119.94;O
210;42;616.15;21;3;10;23;92.08;1.71;2975.43;24.95;O
211;28;69.18;9;0;2;1;0;0.67;0;0;N
212;35;370.46;17;1;6;25;0;1;0;0;N
213;37;11946.79;14;2;13;48;183.71;1;205.81;0;N
214;23;569.09;7;1;8;21;0;1;0;81.18;O
215;21;451.23;5;2;11;24;34.3;1.33;498.47;16.13;O
216;49;22.12;10;0;1;10;0;1;0;0;N
217;27;696.58;11;1;5;30;0;1;0;58.76;O
218;37;773.08;18;2;8;46;995.1;0.78;4199.76;40.11;N
219;24;799.28;8;1;7;35;0;1.17;0;16.3;O
220;36;926.71;19;2;15;16;0;1.23;0;85.12;O
221;21;538.84;5;1;7;18;0;1.8;0;61.78;N
222;53;1003.23;19;1;9;17;0;1;0;39.96;N
223;36;1063.59;20;0;6;14;0;1;0;27.41;O
224;52;1340.22;16;2;12;36;517.41;1.4;2232.5;38.08;O
225;40;606.77;8;1;8;35;0;1.5;0;0;N
226;53;1489.48;24;2;8;29;0;1;0;63.99;N
227;39;1703.99;8;1;5;39;0;1;0;0;N
228;26;243.53;10;1;3;25;0;1;0;0;N
229;41;1256.54;20;2;6;20;398.43;0.83;442.9;6.57;N
230;42;2109.97;21;2;12;78;496.99;1.18;2872.89;61.24;N
231;32;595.67;12;1;5;32;0;1.5;0;0;N
232;43;1785.32;11;1;10;24;0;1;0;0;O
233;46;495.67;21;2;12;23;60.98;0.92;719.74;0;N
234;37;715.63;17;1;9;17;0;1;0;44.96;N
235;33;1460.31;17;1;9;41;0;1.13;0;0;N
236;35;1433.52;18;2;16;20;265.24;1.13;2080.76;150.44;O
237;31;1176.04;5;1;6;36;0;1;0;0;N
238;45;1179.96;21;2;15;27;60.98;1.07;1446.91;32.02;O
239;41;1015.45;19;2;7;17;91.47;1;2445.73;49.38;N
240;75;929.08;21;1;9;15;0;0.7;0;64.6;N
241;35;828.07;12;0;10;24;0;;0;0;N
242;39;2085.04;10;1;6;32;1.36;2.67;0;0;N
243;54;1401;11;1;6;39;0;1;0;0;N
244;61;86.19;11;1;10;2;0;1.11;0;93.04;O
245;30;695.06;14;2;14;22;78.48;1.55;565.9;43.03;O
246;42;1676.82;21;1;6;55;0;1.2;0;0;N
247;40;2177.55;12;1;6;15;0;1.2;0;0;N
248;49;596.83;28;2;8;22;83.85;1;3029.19;18.38;O
249;30;684.61;14;2;9;25;1.11;2;0;25.5;N
250;35;512.33;17;2;9;9;0;1;0;5.77;N
251;58;0;21;0;11;1;0;1;0;46.04;N
252;46;1369.04;21;2;18;39;2.03;1.33;0;39.29;N
253;52;718.82;13;2;9;28;324.71;1;981.79;41.57;O
254;40;1560.66;11;1;7;32;0;;0;73.16;N
255;56;593.56;9;2;8;22;28.83;1.67;700.22;49.16;N
256;24;757.77;8;1;5;32;0;1;0;63.68;O
257;32;16.36;10;0;3;1;0;1;0;44.91;N
258;31;743.59;9;2;13;36;0;1.36;0;24.97;N
259;42;740.76;21;1;12;16;0;0.92;0;68.35;N
260;44;1362.32;21;1;6;37;0;1;0;51.53;O
261;47;1426.09;15;2;15;47;91.47;1.23;2959.53;76.83;O
262;75;654.1;16;1;6;7;0;2;0;65.38;N
263;34;588.13;14;2;7;18;2.03;1.33;0;21.33;N
264;28;40.77;12;1;3;5;0;1;0;13.44;O
265;44;3257.63;21;1;5;37;0;1;0;0;N
266;39;2566.75;21;2;7;54;91.47;1;2863.94;0;N
267;30;1083.19;10;1;5;33;0;1;0;24.19;N
268;41;478.54;20;0;5;15;0;1;0;41.73;N
269;40;904.9;20;2;14;34;91.47;1.25;2683.26;37.23;N
270;31;930.29;13;1;5;20;0;1;0;0;N
271;46;2707.87;11;1;9;56;0;1;0;0;N
272;79;625.65;14;1;7;24;0;1.33;0;67.78;N
273;41;605.11;21;2;12;22;2.03;1.67;0;51.84;N
274;38;515.45;15;1;5;24;0;1;0;30;N
275;53;844.41;21;2;11;24;91.47;1;2194.36;88.25;O
276;40;167.94;21;2;6;9;12.96;2.67;30.85;0;N
277;59;18.51;17;1;13;4;0;1.36;0;40.1;N
278;39;1130.09;21;1;9;17;0;1;0;78.95;O
279;42;735.14;24;2;11;35;51.58;1.33;1618.05;9.74;O
280;29;1710.65;12;1;8;41;0;1;0;29.57;N
281;32;11.58;12;1;2;4;0;1;0;0;N
282;25;106.71;9;1;10;4;60.98;1;1376.85;29.99;N
283;47;1386.23;21;2;10;33;18.64;1;196.94;62.51;N
284;78;682.66;21;1;12;12;0;1.4;0;68.04;N
285;30;1326.11;14;1;11;53;0;1.44;0;125.96;O
286;46;3188.09;21;1;7;34;0;2.5;0;0;N
287;32;1308.88;14;1;9;45;1.11;1.25;101.67;22.31;N
288;21;293.93;5;1;6;9;0;1.4;0;24.11;N
289;34;513.25;15;2;11;31;26.68;0.91;161.88;5.34;N
290;44;1767.88;16;1;13;33;0;1.17;0;0;N
291;57;672.89;13;1;9;26;0;1.43;0;58.26;N
292;38;336.22;10;1;7;11;0;1.14;0;61.15;N
293;22;1094.44;6;2;12;33;1.02;1.67;0;45.49;N
294;26;253.35;8;1;8;16;0;1.5;0;53.39;N
295;32;682.81;8;2;10;26;0;0.9;0;11.46;O
296;51;7379.36;8;2;16;40;0;1;0;34.43;O
297;24;709.08;8;2;15;39;5.46;1.07;5.42;91.06;N
298;30;456.04;14;1;4;21;0;1;0;0;N
299;38;771.16;19;1;7;33;0;1.17;0;0;N
300;33;979.58;17;0;4;26;0;1;0;0;N
301;31;1132.28;13;1;4;23;0;1;0;0;N
302;43;1851.57;20;1;7;52;0;1.17;0;0;N
303;37;1003.46;18;2;10;53;22.86;1.11;224.74;49.29;O
304;44;190.43;11;1;2;5;0;1;0;0;N
305;41;920.82;16;1;4;25;0;1;0;0;N
306;40;1770.94;21;1;4;49;0;1;0;0;O
307;51;513.7;18;2;6;16;60.98;1;1232.15;11.15;O
308;50;444.07;18;1;8;14;0;0.88;0;35.26;N
309;34;3145;18;1;9;26;0;1;0;0;N
310;36;1411.71;20;2;14;19;182.52;1.36;3839.26;86.53;N
311;36;443.08;16;2;11;19;93.3;1.33;3041.92;9.85;O
312;36;853.46;6;2;8;21;198.23;1;40.11;65.75;N
313;53;1029.37;9;2;9;48;69.87;1.25;1738.04;13.11;O
314;47;565.89;13;3;11;46;333.07;1.44;1931.82;27.69;N
315;31;521.36;13;1;12;26;0;0.92;0;52.01;N
316;45;2589.8;9;2;17;35;382.65;1;685.23;110.26;O
317;48;794.5;21;2;9;24;60.98;1;1158.94;8.19;N
318;47;897.14;15;1;9;30;0;1.11;0;4.31;N
319;31;886.17;13;2;12;14;2.03;1.67;0;7.51;O
320;65;1109.11;29;1;5;32;;;0;47.05;N
321;40;896.15;21;2;11;43;30.27;1.44;419.51;8.83;O
322;21;827.74;5;1;8;27;0;1.5;0;87.79;N
323;39;885.04;21;1;11;25;0;1.2;0;62.12;N
324;45;1045.17;21;2;10;24;79.93;1;2489.26;45.28;N
325;28;49.37;10;1;9;5;42.07;1;236.77;16.79;N
326;30;1088.77;6;1;10;33;0;1.11;0;90.41;O
327;35;1213.78;6;1;8;34;0;1;0;25.65;N
328;38;993.58;21;1;12;40;0;0.85;0;73.58;O
329;36;774.69;20;2;9;25;55.9;1.25;1060.36;31.2;O
330;35;1109.73;6;2;12;24;92.52;1.4;3013.66;11.85;O
331;51;1055.14;21;1;14;17;0;1.15;0;32.33;O
332;31;591.52;14;2;13;28;63.8;1.17;1270.71;17.28;O
333;32;493.89;7;1;6;18;0;1.6;0;0;N
334;31;1128.12;7;1;11;28;0;1;0;0;N
335;28;1240.19;8;2;12;25;60.98;1.3;1507.49;23.07;O
336;28;1135.62;8;2;12;33;60.98;1.3;1189.95;71.9;N
337;43;1687.43;16;1;9;58;0;1.25;0;0;N
338;25;2131.92;9;3;10;50;0;1;0;94.51;N
339;43;1643.57;21;2;9;33;60.98;1.43;894.77;24.87;O
340;70;1127.25;24;2;9;12;83.85;1.43;1303.58;58.68;N
341;23;1.32;7;0;12;2;0;1;0;112.32;O
342;38;1327.09;11;1;5;45;0;1;0;0;N
343;48;136.2;8;1;5;5;0;1;0;0;N
344;54;1617.76;18;2;12;51;107.72;1.27;2555.24;49.51;O
345;21;917.8;5;1;8;17;0;1;0;88.43;O
346;26;2562.53;10;1;12;29;0;1.4;0;103.77;N
347;36;421.44;11;1;8;14;0;1;0;22.95;N
348;43;561.46;21;0;8;17;0;1;0;24.75;N
349;27;858.57;11;2;14;22;0;1.25;0;88.58;N
350;42;1742.77;14;1;7;27;0;1;0;0;N
351;43;3272.5;21;2;9;39;0;1.25;0;12.72;N
352;37;1329.39;20;2;11;33;30.64;1.63;845.78;144.99;N
353;67;523.12;14;1;7;13;0;1;0;55.93;N
354;35;1522.84;13;1;7;43;0;1;0;38.3;N
355;32;1063.79;13;2;13;33;0;1.08;0;54.56;N
356;38;499.02;9;0;6;11;0;1.2;0;88.23;N
357;47;1546.24;9;2;9;27;64.74;1;1489.02;35.3;N
358;76;695.21;12;2;11;24;60.98;1.33;691.44;64.69;N
359;50;986.66;21;2;10;15;0;1;0;31.98;O
360;27;1214.88;11;2;12;39;0.48;1.4;0;16.49;N
361;32;1699.32;16;2;11;49;0;1.44;0;9.46;N
362;51;743.09;19;1;4;13;0;1;0;32.4;N
363;47;4019.71;21;2;10;64;170.07;0.91;1117.98;0;O
364;42;1674.39;17;1;11;42;0;1.2;0;0;N
365;29;529.45;13;1;5;19;0;1;0;2.67;N
366;37;76.75;16;0;2;4;0;1;0;0;N
367;36;394.74;14;1;7;33;0;1;0;4.81;N
368;37;1758.52;9;1;5;6;0;0.8;0;0;N
369;30;928.75;8;1;8;29;0;1;0;27.99;N
370;28;411.57;8;1;7;29;0;1;0;27.61;N
371;60;829.65;21;2;11;20;165.15;1;3156.53;15.84;O
372;46;704.95;19;2;12;36;91.47;1.09;2774.63;83.16;N
373;61;648.58;20;1;4;9;0;1;0;4.88;O
374;61;1515.24;10;2;8;40;154.99;1.29;2863.75;45.17;N
375;48;1086.51;21;2;12;41;61.39;1;1363.16;70.95;O
376;35;1154.89;17;2;10;25;152.45;1.22;2643.92;53.7;O
377;50;91.47;24;0;3;1;0;1;0;7.94;O
378;41;70.55;11;0;2;4;0;0.5;0;0;N
379;53;2006.06;10;2;10;29;137.2;1;3536.57;77.93;O
380;33;2255.45;14;1;7;28;0;1.8;0;0;N
381;34;156.62;16;0;3;5;0;1;0;44.1;N
382;38;1044.69;17;2;11;17;65.2;1;1305.15;60.07;O
383;42;3251.77;13;1;14;29;0;1.33;355.63;75.6;O
384;46;421.44;21;2;6;28;139.39;1;4210.48;0;N
385;33;795.42;7;1;4;9;0;1;0;10.35;N
386;23;1213.96;7;1;10;24;0;1;0;3.33;N
387;27;1466.35;11;2;12;56;295.55;0.85;1938.11;23.13;N
388;47;252.78;8;2;16;29;76.73;1.21;911.7;107.43;O
389;20;1119.54;4;2;11;34;0;1.75;0;15.28;N
390;57;2055.19;21;2;15;27;0;1.07;0;10.58;O
391;25;901.35;9;1;9;21;0;0.89;0;19.59;N
392;36;1393.94;20;2;11;44;8.64;1.2;139.25;0;N
393;30;378.25;14;1;5;17;0;1;0;0;N
394;30;1311.76;11;2;11;45;97.11;1.63;3029.55;0;N
395;20;163.14;4;1;6;17;0;1;0;16.42;N
396;44;778.89;11;2;9;31;133.39;1.57;4100.37;73.33;O
397;46;2760.35;15;2;9;34;213.43;1.43;4900.67;10.1;N
398;22;672.21;6;1;5;19;0;1;0;55.79;N
399;43;775.21;18;2;12;19;91.47;1;1918.93;60.13;N
400;45;3218.65;14;1;13;58;0;1.27;0;43.54;N
401;44;441.55;21;1;8;21;0;1.29;0;31.37;N
402;29;725.3;11;2;12;17;0;0.92;0;31.23;N
403;42;1284.65;20;1;6;9;0;1;0;63.59;N
404;46;2081.96;14;1;5;58;0;1.25;0;0;O
405;28;770.59;12;2;10;32;72.42;1.38;1447.13;5.34;N
406;27;1406.78;11;1;8;42;0;1;0;21.9;N
407;49;290.36;15;0;4;18;106.38;1;372.58;0;N
408;35;1431.48;14;2;14;37;11.39;1.33;194.07;71.94;O
409;62;4573.47;21;0;11;1;0;1;0;41.93;O
410;20;584.48;4;1;9;22;0;1.25;0;24.31;N
411;26;996.06;8;1;9;24;0;1;0;24.89;O
412;32;772.73;16;1;7;25;0;1;0;0;N
413;44;1026.39;21;2;11;40;16.26;1.44;249.96;59.08;O
414;33;1121.6;14;2;12;45;370.33;1.09;1567.31;29.22;O
415;50;1387.2;16;1;12;19;0;1;0;45.43;N
416;32;767.19;16;2;7;31;45.73;1;741.93;26.14;N
417;30;378.49;11;1;3;11;0;0.67;0;0;N
418;26;1270.99;10;1;11;41;211.54;1;1651.33;133.81;O
419;36;386.7;10;2;9;11;0;1.13;0;0;O
420;28;892.58;10;1;9;28;286.06;1.57;2284.26;3.93;N
421;29;1294.82;10;2;9;42;8.42;1.11;122.91;18.41;N
422;39;2283.72;21;2;7;45;1.02;2.25;39.24;0;O
423;31;1503.68;14;1;5;33;0;0.8;0;8.57;N
424;54;1927.92;21;1;6;31;0;1.2;0;11.03;O
425;49;1409.02;26;1;12;28;2.03;1.4;0;38.06;N
426;30;1928.77;14;2;11;40;76.22;1.2;2272.3;35.03;N
427;34;617.7;16;0;3;29;0;1;0;0;N
428;28;642.91;12;1;10;10;0;1.38;0;64.63;N
429;46;595.67;17;1;3;14;0;1;0;0;N
430;49;652.23;21;2;6;25;61.27;1;1410.31;0;N
431;39;618.34;8;2;8;31;242.5;1;1607.14;0;N
432;36;497.26;10;1;2;14;0;1;0;0;N
433;46;2309.3;12;2;11;48;66.24;1;197.17;52.07;N
434;39;1221.65;11;1;7;33;0;1;0;88.71;N
435;30;636.22;10;2;10;24;76.22;1.11;2254.57;29.29;N
436;47;3927.76;8;2;10;50;233.04;1.11;303.21;0;N
437;28;1314.54;7;2;7;62;45.73;1.17;723.22;0;N
438;53;1862.96;21;2;12;30;91.47;1;2947.24;49.33;O
439;52;1794.27;21;2;9;24;137.2;1;4359.05;36;O
440;22;483.05;6;1;6;22;0;1;0;21.08;O
441;32;494.63;14;1;9;14;0;1;0;15.63;O
442;21;544.36;5;2;13;19;0;1.36;0;171.7;O
443;51;1316.56;21;1;19;12;0;0.95;0;41.02;O
444;47;1094.8;11;1;16;48;0;1.21;0;64.96;O
445;40;888.2;17;1;5;32;;;0;0;N
446;55;1653.5;27;2;12;33;7.93;1.18;177.58;15.62;O
447;31;12.04;9;1;7;16;0;1;0;0;N
448;40;3944.91;15;1;10;25;0;0.9;0;0;N
449;32;1381.03;15;2;14;43;1.02;1.25;0;76.05;O
450;40;807.33;11;1;4;42;0;1;0;37.55;N
451;31;2079.62;11;2;11;29;88.93;1.09;2710.13;24.76;N
452;34;3.7;7;1;4;14;0;1.33;0;0;N
453;33;1044.36;7;2;10;44;92.08;1;2768.36;84.45;N
