income;logincome;sqrtincome
1398.53;7.24;37.4
942.31;6.85;30.7
1417.07;7.26;37.64
1739.61;7.46;41.71
271.67;5.61;16.48
37.41;3.65;6.12
517.75;6.25;22.75
1806.19;7.5;42.5
989.26;6.9;31.45
140.04;4.95;11.83
1254.75;7.14;35.42
1276.4;7.15;35.73
409.39;6.02;20.23
1542.75;7.34;39.28
950.37;6.86;30.83
1289.21;7.16;35.91
571.06;6.35;23.9
965.19;6.87;31.07
906.56;6.81;30.11
1142.5;7.04;33.8
984.77;6.89;31.38
466.77;6.15;21.6
1297.76;7.17;36.02
1777.21;7.48;42.16
999.66;6.91;31.62
357.31;5.88;18.9
712.96;6.57;26.7
1306.18;7.18;36.14
809.18;6.7;28.45
1641.28;7.4;40.51
1139.52;7.04;33.76
1744.18;7.46;41.76
2865.56;7.96;53.53
917.2;6.82;30.29
696.9;6.55;26.4
2156.11;7.68;46.43
1771.11;7.48;42.08
1510.83;7.32;38.87
811.49;6.7;28.49
1696.59;7.44;41.19
1724.68;7.45;41.53
2174.22;7.68;46.63
1054.43;6.96;32.47
221.37;5.4;14.88
1124.06;7.03;33.53
1800.63;7.5;42.43
2979.41;8;54.58
1288.96;7.16;35.9
1025.07;6.93;32.02
2151.1;7.67;46.38
1672.2;7.42;40.89
2967.21;8;54.47
906.45;6.81;30.11
977.92;6.89;31.27
1308.23;7.18;36.17
1096.42;7;33.11
800.51;6.69;28.29
943.7;6.85;30.72
1157.85;7.06;34.03
135.99;4.92;11.66
83.66;4.44;9.15
1708.86;7.44;41.34
1432.87;7.27;37.85
479.85;6.18;21.91
2027.02;7.61;45.02
846.7;6.74;29.1
775.32;6.65;27.84
1000.57;6.91;31.63
1670.48;7.42;40.87
2072.68;7.64;45.53
80.82;4.4;8.99
1433.81;7.27;37.87
869.52;6.77;29.49
1442.18;7.27;37.98
721.02;6.58;26.85
1106.75;7.01;33.27
1692.58;7.43;41.14
1917.56;7.56;43.79
301.54;5.71;17.36
1378.26;7.23;37.12
1604.97;7.38;40.06
1223.57;7.11;34.98
2382.92;7.78;48.82
1727.75;7.46;41.57
716.29;6.58;26.76
81.01;4.41;9
1030.23;6.94;32.1
886.52;6.79;29.77
2424.35;7.79;49.24
859.25;6.76;29.31
556.42;6.32;23.59
880.57;6.78;29.67
603.93;6.41;24.57
1033.26;6.94;32.14
937.66;6.84;30.62
759.48;6.63;27.56
1161.93;7.06;34.09
1251.75;7.13;35.38
1277.63;7.15;35.74
3062.59;8.03;55.34
1294.55;7.17;35.98
1187.03;7.08;34.45
999.78;6.91;31.62
1976.65;7.59;44.46
713.99;6.57;26.72
3258.88;8.09;57.09
704.63;6.56;26.54
694.51;6.54;26.35
636.3;6.46;25.22
1253.9;7.13;35.41
1561.6;7.35;39.52
1338.2;7.2;36.58
1067.36;6.97;32.67
1520.83;7.33;39
804.85;6.69;28.37
1376.14;7.23;37.1
2020.41;7.61;44.95
3503.3;8.16;59.19
971.51;6.88;31.17
1064.52;6.97;32.63
788.42;6.67;28.08
1431.51;7.27;37.84
1568.63;7.36;39.61
665.74;6.5;25.8
1204.53;7.09;34.71
901.4;6.81;30.02
1212.01;7.1;34.81
1131.08;7.03;33.63
765.06;6.64;27.66
1443.79;7.28;38
1438.22;7.27;37.92
1481.18;7.3;38.49
1480.31;7.3;38.47
1705.72;7.44;41.3
1490.2;7.31;38.6
1222.94;7.11;34.97
1811.34;7.5;42.56
1555.15;7.35;39.44
1346.89;7.21;36.7
569.72;6.35;23.87
591.66;6.38;24.32
1634.41;7.4;40.43
952.22;6.86;30.86
77.69;4.37;8.81
1116.54;7.02;33.41
463.69;6.14;21.53
464.39;6.14;21.55
1195.43;7.09;34.58
1053.7;6.96;32.46
15.42;2.8;3.93
872.67;6.77;29.54
483.95;6.18;22
1362.47;7.22;36.91
2432.83;7.8;49.32
1007.45;6.92;31.74
1476.75;7.3;38.43
1430.04;7.27;37.82
308.85;5.74;17.57
1153.65;7.05;33.97
739.3;6.61;27.19
1303.62;7.17;36.11
1234.07;7.12;35.13
1479.36;7.3;38.46
278.52;5.63;16.69
1548.47;7.35;39.35
980.03;6.89;31.31
1628.32;7.4;40.35
1047;6.95;32.36
1425.78;7.26;37.76
1527.66;7.33;39.09
1086.23;6.99;32.96
1326.33;7.19;36.42
915.66;6.82;30.26
1235.71;7.12;35.15
607.22;6.41;24.64
1201.24;7.09;34.66
1916.83;7.56;43.78
1979.38;7.59;44.49
3408.69;8.13;58.38
1421.96;7.26;37.71
962.34;6.87;31.02
1027.35;6.94;32.05
1288.75;7.16;35.9
1410.37;7.25;37.55
2387.66;7.78;48.86
1485.67;7.3;38.54
1099.67;7;33.16
2095.31;7.65;45.77
3602;8.19;60.02
2736.71;7.91;52.31
3059.54;8.03;55.31
358.42;5.88;18.93
1364.12;7.22;36.93
1335.7;7.2;36.55
771.19;6.65;27.77
666.4;6.5;25.81
592.82;6.39;24.35
1373.56;7.23;37.06
1000.66;6.91;31.63
1033.43;6.94;32.15
275.86;5.62;16.61
8107.02;9;90.04
854.12;6.75;29.23
603.71;6.4;24.57
1142.33;7.04;33.8
635.26;6.46;25.2
2400.43;7.78;48.99
2809.06;7.94;53
1147.26;7.05;33.87
806.99;6.69;28.41
1226.83;7.11;35.03
864.34;6.76;29.4
2484.31;7.82;49.84
713.78;6.57;26.72
1728.38;7.46;41.57
475.65;6.17;21.81
1040.65;6.95;32.26
1059.86;6.97;32.56
1372.36;7.23;37.05
1369.74;7.22;37.01
1619.26;7.39;40.24
2125.85;7.66;46.11
1043.62;6.95;32.31
2286.39;7.74;47.82
1195.4;7.09;34.57
700.63;6.55;26.47
936.45;6.84;30.6
2566.46;7.85;50.66
703.47;6.56;26.52
1239.8;7.12;35.21
927.52;6.83;30.46
1024.14;6.93;32
612.61;6.42;24.75
1339.9;7.2;36.6
1294.68;7.17;35.98
636.13;6.46;25.22
1183.32;7.08;34.4
1552.42;7.35;39.4
929.2;6.84;30.48
503.21;6.22;22.43
1117.95;7.02;33.44
2561.73;7.85;50.61
830.69;6.72;28.82
1407.72;7.25;37.52
4141.68;8.33;64.36
378.17;5.94;19.45
716.62;6.58;26.77
648.04;6.48;25.46
1681.96;7.43;41.01
1389.6;7.24;37.28
545.45;6.3;23.35
1764.42;7.48;42.01
1816.02;7.5;42.61
1307.34;7.18;36.16
824.74;6.72;28.72
1339.91;7.2;36.6
930.32;6.84;30.5
1273.35;7.15;35.68
928.49;6.83;30.47
844.6;6.74;29.06
330.57;5.8;18.18
751.73;6.62;27.42
555.93;6.32;23.58
623.67;6.44;24.97
436.39;6.08;20.89
99.35;4.61;9.97
1245.47;7.13;35.29
765.78;6.64;27.67
164.67;5.11;12.83
2346.35;7.76;48.44
857.69;6.76;29.29
494.52;6.21;22.24
957.45;6.87;30.94
965.63;6.87;31.07
1025.98;6.93;32.03
503.02;6.22;22.43
227.36;5.43;15.08
2060.63;7.63;45.39
973.86;6.88;31.21
1344.81;7.2;36.67
2013.07;7.61;44.87
207.13;5.34;14.39
2798.31;7.94;52.9
1947.07;7.57;44.13
1560.02;7.35;39.5
2389.22;7.78;48.88
2128.15;7.66;46.13
1780.16;7.49;42.19
1775.29;7.48;42.13
3504.94;8.16;59.2
1025.37;6.93;32.02
2913.13;7.98;53.97
1491.09;7.31;38.61
1274.63;7.15;35.7
1196.96;7.09;34.6
89.3;4.5;9.45
737.77;6.6;27.16
1292.06;7.16;35.95
1846.34;7.52;42.97
1553.33;7.35;39.41
451.97;6.12;21.26
2199.77;7.7;46.9
1071.88;6.98;32.74
252.98;5.54;15.91
3773.45;8.24;61.43
297.09;5.7;17.24
725.52;6.59;26.94
1848.14;7.52;42.99
1387.74;7.24;37.25
1012.06;6.92;31.81
1895.27;7.55;43.53
914.5;6.82;30.24
1869.28;7.53;43.24
2416.67;7.79;49.16
1758.43;7.47;41.93
2104.41;7.65;45.87
2559.24;7.85;50.59
1069.85;6.98;32.71
1212.67;7.1;34.82
906.81;6.81;30.11
2215.19;7.7;47.07
1081.25;6.99;32.88
659.04;6.49;25.67
1740.25;7.46;41.72
1244.86;7.13;35.28
1202.26;7.09;34.67
885.96;6.79;29.77
1035.54;6.94;32.18
2464.31;7.81;49.64
977.28;6.89;31.26
935.54;6.84;30.59
1195.9;7.09;34.58
159.1;5.08;12.61
1746.13;7.47;41.79
1598.89;7.38;39.99
698.64;6.55;26.43
1062.34;6.97;32.59
589.42;6.38;24.28
619.46;6.43;24.89
3391.97;8.13;58.24
3331.13;8.11;57.72
1243.08;7.13;35.26
1097.74;7;33.13
1026.78;6.94;32.04
2168.47;7.68;46.57
1247.5;7.13;35.32
1079.76;6.99;32.86
1347.32;7.21;36.71
479.1;6.17;21.89
658.55;6.49;25.66
1961.37;7.58;44.29
1068.39;6.97;32.69
1406.21;7.25;37.5
1177.3;7.07;34.31
948.68;6.86;30.8
208.36;5.34;14.43
3269.69;8.09;57.18
999.03;6.91;31.61
1027.26;6.94;32.05
395.33;5.98;19.88
1260.46;7.14;35.5
1233.34;7.12;35.12
560.25;6.33;23.67
504.53;6.23;22.46
1288.47;7.16;35.9
1197.2;7.09;34.6
459.55;6.13;21.44
1254.99;7.14;35.43
521.81;6.26;22.84
940.93;6.85;30.67
176.62;5.18;13.29
811.44;6.7;28.49
1054;6.96;32.47
1243.65;7.13;35.27
523.64;6.26;22.88
1188.6;7.08;34.48
308.95;5.74;17.58
1734.77;7.46;41.65
1049.81;6.96;32.4
622.75;6.44;24.95
1002.72;6.91;31.67
799.58;6.69;28.28
1058.94;6.97;32.54
1044.7;6.95;32.32
1397.2;7.24;37.38
4457.68;8.4;66.77
738.23;6.61;27.17
206.71;5.34;14.38
2349.98;7.76;48.48
457.32;6.13;21.39
1947.38;7.57;44.13
619.55;6.43;24.89
891.96;6.79;29.87
810.7;6.7;28.47
500.81;6.22;22.38
727.98;6.59;26.98
2180.52;7.69;46.7
1645.08;7.41;40.56
1245.9;7.13;35.3
548.95;6.31;23.43
1642.05;7.4;40.52
806.9;6.69;28.41
1300.98;7.17;36.07
1703.99;7.44;41.28
605.45;6.41;24.61
581.64;6.37;24.12
3706.68;8.22;60.88
1106.11;7.01;33.26
1339.4;7.2;36.6
2541.93;7.84;50.42
169.22;5.14;13.01
1339.32;7.2;36.6
888.71;6.79;29.81
250.83;5.53;15.84
1731.2;7.46;41.61
2525.84;7.83;50.26
2559.43;7.85;50.59
1435.75;7.27;37.89
734.73;6.6;27.11
1118.17;7.02;33.44
2582.13;7.86;50.81
1019.07;6.93;31.92
1112.42;7.02;33.35
1190.59;7.08;34.5
1215.92;7.1;34.87
1783.82;7.49;42.24
1337.72;7.2;36.57
1268.2;7.15;35.61
1457.54;7.29;38.18
905.48;6.81;30.09
1352.12;7.21;36.77
895.87;6.8;29.93
988.78;6.9;31.44
1354.45;7.21;36.8
356.63;5.88;18.88
973.82;6.88;31.21
283.13;5.65;16.83
775.84;6.66;27.85
517.01;6.25;22.74
86.83;4.48;9.32
567.96;6.34;23.83
1467.8;7.29;38.31
2512.04;7.83;50.12
1948.63;7.58;44.14
1437.02;7.27;37.91
330.85;5.8;18.19
1304.93;7.17;36.12
971.87;6.88;31.17
1169.04;7.06;34.19
1469.37;7.29;38.33
1365.16;7.22;36.95
1841.52;7.52;42.91
1788.39;7.49;42.29
1265.19;7.14;35.57
1513.53;7.32;38.9
1242.04;7.13;35.24
3533.75;8.17;59.45
2727.42;7.91;52.22
1432.5;7.27;37.85
1594.9;7.38;39.94
3423.47;8.14;58.51
1137.94;7.04;33.73
1532.16;7.34;39.14
4031.57;8.3;63.49
1010.51;6.92;31.79
1266.08;7.14;35.58
784.71;6.67;28.01
1695.94;7.44;41.18
829.98;6.72;28.81
701.79;6.56;26.49
1837.59;7.52;42.87
867.89;6.77;29.46
1132.8;7.03;33.66
784.86;6.67;28.02
1210.92;7.1;34.8
1913.42;7.56;43.74
2364.8;7.77;48.63
2477.35;7.82;49.77
1319.43;7.19;36.32
1712.93;7.45;41.39
1110.53;7.01;33.32
549.59;6.31;23.44
537.73;6.29;23.19
898.87;6.8;29.98
1212.08;7.1;34.82
2795.87;7.94;52.88
1491.83;7.31;38.62
1333.33;7.2;36.51
2060.18;7.63;45.39
700.82;6.55;26.47
1205.7;7.1;34.72
355.14;5.88;18.85
763.32;6.64;27.63
1955.63;7.58;44.22
938.43;6.85;30.63
2353.78;7.76;48.52
742.63;6.61;27.25
1193.92;7.09;34.55
888.69;6.79;29.81
1862.42;7.53;43.16
43.06;3.79;6.56
228.11;5.43;15.1
1030.78;6.94;32.11
906.27;6.81;30.1
750.33;6.62;27.39
40.16;3.72;6.34
444.75;6.1;21.09
1877.46;7.54;43.33
1363.07;7.22;36.92
1566.28;7.36;39.58
873.57;6.77;29.56
1090.9;7;33.03
553.29;6.32;23.52
3136.56;8.05;56
1813.02;7.5;42.58
1901.55;7.55;43.61
2015.18;7.61;44.89
1288.85;7.16;35.9
559.65;6.33;23.66
780.5;6.66;27.94
713.1;6.57;26.7
1068.05;6.97;32.68
1087.29;6.99;32.97
1203.16;7.09;34.69
1128.28;7.03;33.59
1268.1;7.15;35.61
1808.21;7.5;42.52
311.64;5.75;17.65
62.09;4.14;7.88
1879.59;7.54;43.35
887.58;6.79;29.79
2093.44;7.65;45.75
569.5;6.35;23.86
206.38;5.33;14.37
1044.87;6.95;32.32
391.35;5.97;19.78
1138.77;7.04;33.75
664.13;6.5;25.77
2091.69;7.65;45.73
997.63;6.91;31.59
1235.49;7.12;35.15
166.62;5.12;12.91
1039.86;6.95;32.25
979.8;6.89;31.3
478.38;6.17;21.87
131.07;4.88;11.45
903.73;6.81;30.06
1434.42;7.27;37.87
648.97;6.48;25.47
946.32;6.85;30.76
737.13;6.6;27.15
791.65;6.68;28.14
225.39;5.42;15.01
1528.13;7.33;39.09
721.52;6.58;26.86
875.17;6.78;29.58
2157.66;7.68;46.45
729.68;6.59;27.01
1374.38;7.23;37.07
430.48;6.07;20.75
1336.38;7.2;36.56
1795.25;7.49;42.37
950.05;6.86;30.82
593.71;6.39;24.37
665.16;6.5;25.79
1778.49;7.48;42.17
2326.8;7.75;48.24
924.96;6.83;30.41
1998.34;7.6;44.7
170.34;5.14;13.05
1486.64;7.3;38.56
980.46;6.89;31.31
839.38;6.73;28.97
815.82;6.71;28.56
1104.79;7.01;33.24
986.17;6.89;31.4
139.59;4.95;11.81
1353.76;7.21;36.79
803.38;6.69;28.34
1403.53;7.25;37.46
1126.64;7.03;33.57
2719.32;7.91;52.15
486.42;6.19;22.05
892.47;6.8;29.87
7168.16;8.88;84.66
3831.47;8.25;61.9
784.06;6.67;28
1600.66;7.38;40.01
611.24;6.42;24.72
1203.14;7.09;34.69
1348.86;7.21;36.73
0;0;0
1740.29;7.46;41.72
836.96;6.73;28.93
1609.15;7.38;40.11
379.41;5.94;19.48
986.79;6.9;31.41
472.65;6.16;21.74
806.25;6.69;28.39
613.96;6.42;24.78
404.37;6;20.11
1081.04;6.99;32.88
1517.25;7.33;38.95
1792.22;7.49;42.33
2207.04;7.7;46.98
2001.03;7.6;44.73
351.69;5.87;18.75
385.32;5.96;19.63
2257.42;7.72;47.51
646.72;6.47;25.43
2027.01;7.61;45.02
687.03;6.53;26.21
986.03;6.89;31.4
1927.26;7.56;43.9
209.38;5.35;14.47
1488.81;7.31;38.59
1326.74;7.19;36.42
642.15;6.47;25.34
1058.89;6.97;32.54
1122.37;7.02;33.5
693.62;6.54;26.34
999.32;6.91;31.61
1115.81;7.02;33.4
1807.23;7.5;42.51
819.47;6.71;28.63
1584.7;7.37;39.81
1309.41;7.18;36.19
4161.52;8.33;64.51
2063.27;7.63;45.42
575.25;6.36;23.98
2048.63;7.63;45.26
2061.31;7.63;45.4
1605.52;7.38;40.07
944.35;6.85;30.73
1061.16;6.97;32.58
2396.29;7.78;48.95
986.64;6.9;31.41
1349.37;7.21;36.73
2155.33;7.68;46.43
1128.75;7.03;33.6
1096.65;7;33.12
764.34;6.64;27.65
657.75;6.49;25.65
768.26;6.65;27.72
681.62;6.53;26.11
610.08;6.42;24.7
1072.88;6.98;32.75
1112.14;7.01;33.35
1165.64;7.06;34.14
3919.38;8.27;62.6
996.43;6.91;31.57
172.26;5.15;13.12
1946.31;7.57;44.12
1708.5;7.44;41.33
1894.4;7.55;43.52
4047.5;8.31;63.62
3183.61;8.07;56.42
