iris;species;se_l;se_w;pe_l;pe_w
i059_VIRGINICA;VIRGINICA;64;28;56;21
i060_SETOSA;SETOSA;43;30;11;1
i061_SETOSA;SETOSA;58;40;12;2
i062_SETOSA;SETOSA;51;38;19;4
i063_VERSICOLOR;VERSICOLOR;67;31;44;14
i064_VIRGINICA;VIRGINICA;62;28;48;18
i065_SETOSA;SETOSA;49;30;14;2
i066_SETOSA;SETOSA;51;35;14;2
i067_VERSICOLOR;VERSICOLOR;56;30;45;15
i068_VERSICOLOR;VERSICOLOR;58;27;41;10
i069_SETOSA;SETOSA;50;34;16;4
i070_SETOSA;SETOSA;46;32;14;2
i071_VERSICOLOR;VERSICOLOR;60;29;45;15
i072_VERSICOLOR;VERSICOLOR;57;26;35;10
i073_SETOSA;SETOSA;57;44;15;4
i074_SETOSA;SETOSA;50;36;14;2
i075_VIRGINICA;VIRGINICA;77;30;61;23
i076_VIRGINICA;VIRGINICA;63;34;56;24
i077_VIRGINICA;VIRGINICA;58;27;51;19
i078_VERSICOLOR;VERSICOLOR;57;29;42;13
i079_VIRGINICA;VIRGINICA;72;30;58;16
i080_SETOSA;SETOSA;54;34;15;4
i081_SETOSA;SETOSA;52;41;15;1
i082_VIRGINICA;VIRGINICA;71;30;59;21
i083_VIRGINICA;VIRGINICA;64;31;55;18
i084_VIRGINICA;VIRGINICA;60;30;48;18
i085_VIRGINICA;VIRGINICA;63;29;56;18
i086_VERSICOLOR;VERSICOLOR;49;24;33;10
i087_VERSICOLOR;VERSICOLOR;56;27;42;13
i088_VERSICOLOR;VERSICOLOR;57;30;42;12
i089_SETOSA;SETOSA;55;42;14;2
i090_SETOSA;SETOSA;49;31;15;2
i091_VIRGINICA;VIRGINICA;77;26;69;23
i092_VIRGINICA;VIRGINICA;60;22;50;15
i093_SETOSA;SETOSA;54;39;17;4
i094_VERSICOLOR;VERSICOLOR;66;29;46;13
i095_VERSICOLOR;VERSICOLOR;52;27;39;14
i096_VERSICOLOR;VERSICOLOR;60;34;45;16
i097_SETOSA;SETOSA;50;34;15;2
i098_SETOSA;SETOSA;44;29;14;2
i099_VERSICOLOR;VERSICOLOR;50;20;35;10
i101_VERSICOLOR;VERSICOLOR;55;24;37;10
i102_VERSICOLOR;VERSICOLOR;58;27;39;12
i103_SETOSA;SETOSA;47;32;13;2
i104_SETOSA;SETOSA;46;31;15;2
i105_VIRGINICA;VIRGINICA;69;32;57;23
i106_VERSICOLOR;VERSICOLOR;62;29;43;13
i107_VIRGINICA;VIRGINICA;74;28;61;19
i108_VERSICOLOR;VERSICOLOR;59;30;42;15
i109_SETOSA;SETOSA;51;34;15;2
i110_SETOSA;SETOSA;50;35;13;3
i111_VIRGINICA;VIRGINICA;56;28;49;20
i112_VERSICOLOR;VERSICOLOR;60;22;40;10
i113_VIRGINICA;VIRGINICA;73;29;63;18
i114_VIRGINICA;VIRGINICA;67;25;58;18
i115_SETOSA;SETOSA;49;31;15;1
i116_VERSICOLOR;VERSICOLOR;67;31;47;15
i117_VERSICOLOR;VERSICOLOR;63;23;44;13
i118_SETOSA;SETOSA;54;37;15;2
i119_VERSICOLOR;VERSICOLOR;56;30;41;13
i120_VERSICOLOR;VERSICOLOR;63;25;49;15
i121_VERSICOLOR;VERSICOLOR;61;28;47;12
i122_VERSICOLOR;VERSICOLOR;64;29;43;13
i123_VERSICOLOR;VERSICOLOR;51;25;30;11
i124_VERSICOLOR;VERSICOLOR;57;28;41;13
i125_VIRGINICA;VIRGINICA;65;30;58;22
i126_VIRGINICA;VIRGINICA;69;31;54;21
i127_SETOSA;SETOSA;54;39;13;4
i128_SETOSA;SETOSA;51;35;14;3
i129_VIRGINICA;VIRGINICA;72;36;61;25
i130_VIRGINICA;VIRGINICA;65;32;51;20
i131_VERSICOLOR;VERSICOLOR;61;29;47;14
i132_VERSICOLOR;VERSICOLOR;56;29;36;13
i133_VERSICOLOR;VERSICOLOR;69;31;49;15
i134_VIRGINICA;VIRGINICA;64;27;53;19
i135_VIRGINICA;VIRGINICA;68;30;55;21
i136_VERSICOLOR;VERSICOLOR;55;25;40;13
i137_SETOSA;SETOSA;48;34;16;2
i138_SETOSA;SETOSA;48;30;14;1
i139_SETOSA;SETOSA;45;23;13;3
i140_VIRGINICA;VIRGINICA;57;25;50;20
i141_SETOSA;SETOSA;57;38;17;3
i142_SETOSA;SETOSA;51;38;15;3
i143_VERSICOLOR;VERSICOLOR;55;23;40;13
i144_VERSICOLOR;VERSICOLOR;66;30;44;14
i145_VERSICOLOR;VERSICOLOR;68;28;48;14
i146_SETOSA;SETOSA;54;34;17;2
i146_SETOSA;SETOSA;51;37;15;4
i147_SETOSA;SETOSA;52;35;15;2
i148_VIRGINICA;VIRGINICA;58;28;51;24
i149_VERSICOLOR;VERSICOLOR;67;30;50;17
i150_VIRGINICA;VIRGINICA;63;33;60;25
i047_SETOSA;SETOSA;53;37;15;2
