sex	age	aware	benefit	harm	consult	discomf	intimacy	gradtrng	idno	filter_$
2	2	1	1	1	1	1	1	1	238	1
2	2	1	1	2	1	1	1	1	241	1
2	2	1	2	1	2	2	1	2	244	1
2	2	1	1	1	1	1	1	1	245	1
2	2	1	1	2	2	2	1	1	247	1
2	2	1	1	1	2	2	1	1	248	1
2	2	1	1	1	2	2	1	3	249	1
2	2	1	2	1	1	2	1	2	251	1
2	2	1	1	2	1	2	1	1	252	1
2	2	1	1	1	2	2	1	1	253	1
2	2	1	2	1	1	1	1	1	255	1
2	2	1	2	1	2	2	1	1	256	1
2	2	1	1	1	1	2	1	1	257	1
2	2	1	1	1	1	1	1	1	261	1
2	2	1	1	1	1	1	1	1	262	1
2	2	1	2	1	1	1	1	1	266	1
2	2	1	2	2	2	2	1	2	267	1
2	2	1	2	1	2	1	1	3	270	1
2	2	1	2	2	2	2	1	1	273	1
2	2	1	1	1	1	2	1	1	274	1
2	2	2	1	2	2	2	1	3	278	1
2	2	1	2	1	2	1	1	1	279	1
2	2	1	2	1	1	1	1	1	280	1
2	2	1	1	2	2	2	1	1	287	1
2	2	2	2	2	2	2	1	1	290	1
2	2	1	1	1	1	2	1	3	292	1
2	2	1	2	1	2	2	1	2	293	1
2	2	1	1	1	1	1	1	1	297	1
2	2	1	2	1	1	1	1	1	299	1
2	2	1	1	2	2	2	1	1	300	1
2	2	2	2	1	1	1	1	2	304	1
2	2	1	1	2	2	1	1	3	305	1
2	2	1	1	1	1	1	1	2	306	1
2	2	1	1	1	2	2	1	1	308	1
2	2	1	1	1	1	2	1	1	310	1
2	2	1	1	1	1	1	1	3	311	1
2	2	1	2	2	1	2	1	1	312	1
2	2	1	2	2	2	2	1	2	314	1
2	2	1	2	1	2	2	1	2	315	1
2	2	1	1	1	2	1	1	1	316	1
2	2	1	2	1	2	2	1	1	317	1
2	2	1	2	1	1	1	1	1	319	1
2	2	1	2	1	2	2	1	2	320	1
2	2	1	2	2	1	1	1	2	321	1
2	2	1	2	1	1	1	1	1	322	1
2	2	2	2	2	1	1	1	3	323	1
2	2	1	2	2	1	2	1	1	324	1
2	2	1	1	2	1	2	1	1	328	1
2	2	1	2	2	2	2	1	1	329	1
2	2	1	1	1	1	1	1	2	330	1
2	2	1	2	1	1	2	1	1	331	1
1	2	2	1	2	1	2	1	3	602	1
1	2	2	2	2	2	2	1	3	603	1
1	2	1	1	1	2	2	1	1	604	1
1	2	2	2	2	2	2	2	2	605	1
1	2	2	2	2	1	1	1	1	606	1
1	2	1	2	2	2	1	1	2	607	1
1	2	2	2	2	1	1	1	3	609	1
1	2	1	2	2	2	2	1	2	610	1
1	2	1	2	1	2	1	1	1	611	1
1	2	2	2	2	2	1	1	2	612	1
1	2	1	2	2	2	1	1	1	614	1
1	2	1	2	2	2	2	1	1	615	1
1	2	2	2	2	2	2	1	2	617	1
1	2	1	2	1	1	2	1	1	618	1
1	2	2	2	2	2	2	1	3	619	1
1	2	1	2	1	2	1	1	1	620	1
1	2	1	2	1	1	2	1	1	621	1
1	2	2	2	2	2	2	1	2	622	1
1	2	1	1	1	2	2	1	2	623	1
1	2	2	2	1	1	1	1	1	624	1
1	2	2	2	1	2	1	1	2	626	1
1	2	1	2	2	2	2	1	1	628	1
1	2	2	2	2	2	2	2	1	629	1
1	2	2	2	1	2	2	1	2	630	1
1	2	1	2	2	1	2	1	2	631	1
1	2	1	1	1	1	1	1	3	632	1
1	2	1	2	2	1	2	1	1	633	1
1	2	1	2	1	1	1	2	1	635	1
1	2	1	1	1	1	2	1	2	636	1
1	2	1	2	2	1	1	1	1	637	1
1	2	2	2	1	1	1	1	3	639	1
1	2	2	2	2	2	1	1	2	640	1
1	2	2	2	2	2	2	1	3	641	1
1	2	1	1	1	1	1	1	1	642	1
1	2	1	1	1	2	2	1	2	643	1
1	2	1	2	1	1	1	1	3	644	1
1	2	1	2	2	1	2	1	1	645	1
1	2	1	2	2	1	2	1	1	646	1
1	2	1	1	2	1	2	1	2	647	1
1	2	2	2	2	2	2	1	3	648	1
1	2	2	1	2	2	2	1	2	649	1
1	2	1	2	2	2	1	1	3	650	1
1	2	2	2	2	2	2	1	1	652	1
1	2	1	2	2	2	2	1	1	654	1
1	1	1	1	1	2	2	1	2	655	1
1	2	2	2	2	2	2	1	3	657	1
1	2	1	2	2	1	1	1	1	658	1
1	2	1	1	1	1	1	1	3	659	1
1	2	1	2	1	1	1	1	3	660	1
1	2	1	1	2	2	2	1	1	661	1
1	1	1	2	2	2	1	1	1	662	1
1	2	1	1	1	1	1	1	1	663	1
1	2	2	2	2	2	1	1	3	664	1
1	2	2	2	2	1	2	1	3	665	1
1	2	1	1	2	1	2	1	1	666	1
1	2	1	2	1	2	1	1	3	667	1
1	2	1	2	1	1	2	1	2	668	1
1	2	2	2	2	2	1	1	3	669	1
1	2	1	2	1	2	1	1	1	671	1
1	2	2	2	2	2	1	1	1	672	1
1	2	2	2	1	1	2	2	1	673	1
1	2	2	2	2	2	2	2	2	677	1
1	2	1	2	1	2	2	1	2	678	1
1	2	2	2	2	2	2	1	2	679	1
1	2	2	2	2	2	1	1	1	680	1
1	2	2	2	2	2	2	1	3	681	1
1	2	1	2	1	1	1	1	1	682	1
1	2	2	2	1	2	1	1	1	683	1
1	2	1	2	1	2	2	1	1	684	1
1	2	2	2	2	2	2	2	1	686	1
1	2	2	2	2	2	1	2	1	687	1
1	2	1	2	2	1	2	1	1	688	1
1	2	2	2	2	2	1	1	1	690	1
1	2	1	2	2	1	2	1	1	693	1
1	2	1	1	1	1	2	1	3	694	1
1	2	2	2	1	2	1	1	2	695	1
1	2	1	2	1	2	2	1	1	697	1
1	2	1	2	1	1	1	1	1	699	1
1	2	1	2	1	1	1	1	3	700	1
1	2	2	2	2	2	2	1	1	702	1
1	2	1	2	1	1	2	1	1	703	1
1	2	1	2	2	2	2	2	1	704	1
1	2	2	1	2	2	2	2	1	705	1
1	2	2	2	2	1	2	1	2	707	1
1	2	2	2	2	2	2	1	1	709	1
1	2	2	2	2	2	2	9	2	710	1
1	2	1	2	2	2	2	1	2	711	1
1	2	1	1	1	2	1	1	3	712	1
1	2	2	1	2	2	2	1	1	713	1
1	2	1	1	1	1	1	1	1	714	1
1	2	2	2	2	2	2	1	1	715	1
1	2	2	1	1	2	1	1	1	716	1
1	2	1	2	2	2	2	1	2	717	1
1	2	2	2	2	1	1	1	1	718	1
1	2	1	1	1	2	1	1	3	720	1
1	2	1	1	1	1	2	1	3	721	1
1	2	1	1	1	1	1	1	3	722	1
1	2	1	2	1	1	1	1	1	723	1
1	2	1	2	1	1	2	2	1	725	1
1	2	1	2	1	1	1	1	1	726	1
1	2	1	2	2	1	1	1	1	727	1
1	2	1	1	2	1	1	1	1	728	1
1	2	1	1	1	1	2	1	2	729	1
1	2	1	1	1	1	1	9	2	731	1
1	2	1	2	2	1	2	1	2	732	1
1	2	2	2	2	2	1	1	1	733	1
1	2	1	2	1	1	1	1	2	734	1
1	2	1	2	2	2	2	2	1	735	1
1	2	1	2	1	1	1	1	1	736	1
1	2	1	1	1	1	2	1	2	737	1
1	2	2	2	2	2	2	1	2	739	1
1	2	2	2	1	2	1	1	3	740	1
1	2	1	2	2	1	2	1	3	741	1
1	2	2	2	1	1	2	2	1	742	1
1	2	1	2	1	2	2	1	1	744	1
1	2	2	2	1	2	2	1	1	745	1
1	2	2	2	2	1	1	1	1	746	1
1	2	1	2	2	2	2	1	1	747	1
1	2	1	1	2	1	2	1	3	748	1
1	2	1	2	1	1	1	1	3	749	1
1	2	1	1	1	1	1	1	1	751	1
1	2	1	2	1	2	2	1	2	752	1
1	2	2	2	2	2	2	2	1	753	1
1	2	1	2	1	2	2	1	3	754	1
1	2	1	2	1	1	2	1	2	755	1
1	2	1	2	2	2	2	1	1	757	1
1	2	1	2	1	2	2	1	2	758	1
1	2	1	1	2	1	2	1	1	759	1
1	2	1	2	1	1	2	1	1	760	1
1	2	2	2	2	2	2	2	1	761	1
1	2	1	2	2	2	2	1	2	762	1
1	2	2	1	2	1	2	1	1	763	1
1	2	1	1	2	1	1	1	1	764	1
1	2	2	2	1	2	1	1	3	765	1
1	2	1	2	2	1	1	1	2	767	1
1	2	1	1	2	1	1	1	1	768	1
1	1	2	2	2	2	2	1	2	402	1
1	1	1	1	1	1	2	1	1	403	1
1	1	1	1	2	2	2	1	1	404	1
1	1	2	2	2	2	2	9	3	405	1
1	1	1	1	1	1	1	1	2	406	1
1	1	1	2	1	2	1	1	1	407	1
1	1	1	1	1	1	2	1	2	408	1
1	1	1	2	2	2	2	1	3	409	1
1	1	2	2	1	2	1	1	3	410	1
1	1	1	2	2	1	2	1	1	411	1
1	1	1	1	1	1	1	1	2	412	1
1	1	1	1	2	1	2	1	1	413	1
1	1	1	1	1	1	1	1	3	414	1
1	1	1	1	2	2	2	1	3	416	1
1	1	1	2	2	2	2	1	1	418	1
1	1	1	1	1	1	1	1	1	419	1
1	1	1	1	1	1	1	1	1	420	1
1	1	2	1	2	1	2	1	1	421	1
1	1	1	1	1	1	1	1	1	422	1
1	1	1	2	2	1	2	2	2	423	1
1	1	1	2	2	2	2	1	2	425	1
1	1	1	1	2	2	2	1	1	426	1
1	1	2	1	2	1	1	2	1	428	1
1	1	1	2	2	1	2	1	3	429	1
1	1	1	2	2	2	2	1	2	430	1
1	1	1	2	2	1	1	1	1	431	1
1	1	1	2	1	1	1	1	1	432	1
1	1	1	2	1	1	2	1	1	433	1
1	1	1	1	1	1	2	1	3	434	1
1	1	1	2	2	1	2	1	3	435	1
1	1	2	2	2	2	2	1	1	436	1
1	1	2	2	2	2	2	1	2	437	1
1	1	1	2	2	1	2	1	2	439	1
1	1	2	2	1	1	2	1	1	440	1
1	1	2	2	1	1	2	1	2	441	1
1	1	1	1	2	1	2	1	2	442	1
1	1	1	2	2	2	2	1	2	443	1
1	1	1	1	1	2	1	1	1	444	1
1	1	1	1	1	1	1	1	1	445	1
1	1	1	1	1	1	1	1	1	446	1
1	1	1	2	1	1	2	1	1	447	1
1	1	2	2	1	2	2	1	2	448	1
1	1	2	2	2	2	1	1	3	449	1
1	1	2	2	2	2	2	1	2	450	1
1	1	1	2	2	1	2	1	3	451	1
1	1	2	2	1	2	2	1	1	452	1
1	1	1	1	2	2	2	1	3	453	1
1	1	2	2	2	2	2	1	2	454	1
1	1	1	2	1	2	2	1	3	455	1
1	1	1	2	2	1	2	1	2	456	1
1	1	1	2	2	1	1	1	1	457	1
1	1	2	2	2	1	2	1	1	459	1
1	1	1	2	2	1	2	1	2	461	1
1	1	2	2	1	2	1	1	2	462	1
1	1	1	1	2	2	1	1	1	464	1
1	1	1	1	1	1	2	1	3	465	1
1	1	1	2	2	2	2	1	1	467	1
1	1	1	1	2	2	1	1	3	468	1
1	1	1	2	2	2	2	1	3	469	1
1	1	1	2	1	2	2	1	2	471	1
1	1	1	1	1	2	1	1	1	473	1
1	1	1	2	1	2	2	1	1	474	1
1	1	1	2	1	2	1	1	3	475	1
1	1	1	2	2	2	2	1	1	476	1
1	1	1	2	2	2	2	1	1	477	1
1	1	2	2	1	1	2	1	3	479	1
1	1	1	1	1	1	2	1	1	480	1
1	2	1	2	2	2	2	2	2	482	1
1	1	1	2	1	2	2	1	1	483	1
1	1	2	2	2	1	2	1	1	484	1
1	1	2	2	2	2	2	1	1	485	1
1	1	2	2	2	2	2	1	2	486	1
1	1	1	2	1	2	2	1	2	487	1
1	1	2	2	1	2	2	2	1	488	1
1	1	1	2	2	2	2	1	3	489	1
1	1	1	2	2	2	2	1	1	490	1
1	1	1	1	1	1	2	1	1	491	1
1	1	2	2	2	2	2	1	1	492	1
1	1	2	2	2	2	2	2	1	493	1
1	1	2	2	2	2	2	1	3	495	1
1	1	1	2	1	1	1	1	3	496	1
1	1	2	2	2	2	1	2	1	497	1
1	1	1	2	2	2	2	1	1	498	1
1	1	2	2	2	1	2	1	1	499	1
1	1	2	2	1	2	2	1	2	500	1
1	1	2	2	2	2	2	2	2	501	1
1	1	2	2	2	2	2	1	2	502	1
1	1	2	2	2	2	2	1	3	503	1
1	1	2	2	2	2	2	2	3	504	1
1	1	1	2	1	2	2	1	1	505	1
1	1	1	1	1	2	2	1	2	506	1
1	1	1	1	1	1	2	1	1	507	1
1	1	1	2	1	1	1	1	1	508	1
1	1	1	2	2	1	2	1	1	509	1
1	1	1	2	2	2	2	1	1	512	1
1	1	2	2	2	2	2	1	3	513	1
1	1	1	1	1	1	1	1	1	516	1
1	1	2	2	2	2	1	1	2	517	1
1	1	1	2	2	2	2	1	1	518	1
1	1	1	1	1	1	1	1	3	519	1
1	1	1	1	1	2	2	1	1	520	1
1	1	1	2	2	2	2	1	3	521	1
1	1	2	2	2	2	2	1	2	522	1
1	1	1	1	1	1	1	1	2	524	1
1	1	1	2	2	2	2	1	3	525	1
1	1	1	2	2	2	2	2	2	527	1
1	1	1	1	1	1	1	1	3	529	1
1	1	2	2	2	2	1	1	2	530	1
1	1	1	1	1	1	1	1	1	531	1
1	1	1	2	2	2	2	1	2	532	1
1	1	1	2	2	1	1	2	3	534	1
1	1	2	2	2	1	2	1	1	535	1
1	1	1	1	1	2	1	1	1	536	1
1	1	1	2	1	2	2	1	1	537	1
1	1	2	2	2	2	2	2	1	538	1
1	1	1	1	1	1	1	1	1	539	1
1	1	1	1	2	1	2	1	2	540	1
1	1	1	1	1	1	1	1	1	541	1
1	1	1	1	2	1	2	1	2	542	1
1	1	2	2	1	2	1	1	2	543	1
1	1	1	2	2	1	2	1	1	544	1
1	1	1	1	1	1	1	1	3	546	1
1	1	1	2	2	2	2	2	1	547	1
1	1	2	2	1	1	2	1	2	548	1
1	1	1	2	1	1	1	1	1	550	1
1	1	2	2	2	2	2	2	2	551	1
1	1	1	1	2	2	2	1	2	552	1
1	1	2	2	2	2	2	1	3	553	1
1	1	1	2	2	1	1	1	2	554	1
1	1	1	2	1	2	2	1	2	555	1
1	1	1	2	1	2	2	1	1	557	1
1	1	1	2	2	1	1	1	1	558	1
1	1	2	2	1	1	2	1	1	559	1
1	1	2	2	2	2	1	2	2	560	1
1	1	1	2	1	2	2	1	3	562	1
1	1	2	2	2	2	2	1	2	563	1
1	1	1	2	1	2	1	1	2	564	1
1	1	1	1	1	1	1	1	1	565	1
1	1	1	2	2	2	2	1	1	566	1
1	1	1	2	2	2	2	1	2	567	1
1	1	1	2	2	2	1	1	1	569	1
1	1	2	2	2	2	2	1	3	570	1
1	1	1	1	2	2	1	1	2	571	1
1	1	1	2	2	2	1	1	3	572	1
