subno	helpful	reliant	defbel	yielding	cheerful	indpt	athlet	shy	assert	strpers	forceful	affect	flatter	loyal	analyt	feminine	sympathy	moody	sensitiv	undstand	compass	leaderab	soothe	risk	decide	selfsuff	conscien	dominant	masculin	stand	happy	softspok	warm	truthful	tender	gullible	leadact	childlik	individ	foullang	lovchil	compete	ambitiou	gentle	H	DUMMY
151	5	6	7	4	6	6	6	2	5	6	5	7	5	7	6	6	5	2	4	5	5	6	5	6	6	6	7	5	2	7	6	5	6	7	6	1	4	2	7	6	6	7	6	5	.0737278837052149	0
592	6	6	6	4	6	6	3	5	5	5	5	6	6	6	6	6	5	4	5	5	5	4	4	3	4	5	5	4	2	3	6	5	5	6	5	3	5	2	6	5	7	4	4	4	.0738136963808858	0
229	6	6	6	5	5	6	2	4	5	4	4	6	4	5	4	6	5	4	5	5	5	3	5	3	4	5	4	4	1	4	5	5	4	5	5	4	4	3	3	2	6	4	4	5	.0738888758253689	0
5	6	6	7	4	7	7	7	2	7	7	5	7	4	7	7	4	7	3	7	6	7	7	7	7	7	5	7	6	4	7	6	4	7	7	7	5	6	2	6	5	7	7	7	7	.0738906036911557	0
293	7	6	7	6	6	6	7	4	6	6	3	7	6	7	6	5	7	4	6	7	7	6	7	6	6	6	6	2	1	6	6	6	6	6	5	7	5	1	5	4	7	6	6	6	.073891590363074	0
576	7	6	6	5	6	7	7	3	6	7	6	6	5	6	6	6	6	2	4	5	5	7	7	6	6	6	6	7	1	5	5	5	6	6	6	6	7	2	6	6	7	7	7	6	.0743493815812546	0
206	6	6	7	4	6	7	6	2	6	6	4	7	5	7	7	6	4	1	6	6	6	6	6	6	5	6	7	6	2	6	7	7	7	7	7	4	5	3	6	3	7	6	7	7	.0746858651381232	0
438	7	5	6	6	7	6	4	2	5	5	2	7	7	7	5	7	7	2	7	6	6	6	6	4	6	6	7	3	1	5	7	4	7	6	6	3	6	3	6	6	6	4	5	6	.0747238354050288	0
241	6	7	6	5	7	7	3	4	5	6	5	6	2	7	7	7	5	3	7	7	6	4	7	5	6	7	7	4	1	5	7	6	6	7	5	4	4	1	7	6	7	4	6	7	.0751403197263541	0
307	7	7	7	4	7	7	7	1	7	7	4	7	4	7	7	7	7	2	7	7	7	7	7	6	6	7	7	7	1	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	.0752181839194999	0
318	7	6	7	6	6	7	4	5	6	6	4	6	6	7	6	5	7	4	7	7	7	5	6	4	5	6	6	5	1	6	6	6	7	7	6	2	5	1	7	6	7	3	6	7	.0762516556232747	0
519	6	7	7	5	5	6	7	3	4	5	4	6	4	7	4	6	5	3	4	6	5	4	5	5	4	6	6	4	1	4	6	4	6	7	5	3	3	4	6	5	7	5	5	5	.0765949132533729	0
250	7	7	7	5	7	7	6	2	5	7	3	7	5	7	5	4	6	3	5	6	6	7	6	6	5	7	6	5	1	7	7	4	5	6	5	5	7	1	6	3	7	7	7	6	.0766837492890449	0
239	5	6	5	4	6	6	3	4	5	5	4	6	5	7	4	5	6	4	5	6	6	3	5	3	4	6	7	4	1	4	6	6	5	7	5	4	4	1	3	1	7	4	4	5	.0773781131886863	0
448	7	6	7	5	6	6	1	2	4	6	5	7	5	7	5	7	6	3	6	6	6	7	6	6	6	7	6	5	1	5	6	2	6	6	6	2	7	3	7	6	7	5	5	6	.0776730635197519	0
443	6	7	7	5	5	7	6	3	6	6	4	6	5	7	7	5	6	3	6	6	6	6	5	7	7	7	6	5	3	6	5	3	5	6	5	5	5	6	7	3	7	6	6	5	.0776928319788158	0
264	7	7	6	3	6	6	3	3	5	5	5	6	6	7	5	6	7	1	7	7	7	6	7	5	7	6	7	7	2	5	6	4	5	6	6	5	6	3	5	7	6	6	6	6	.0777032750682299	0
514	6	5	5	5	6	6	4	5	4	4	4	6	4	7	6	5	7	7	7	7	7	5	7	5	5	5	7	4	1	3	5	6	6	6	6	6	4	1	4	2	7	4	4	6	.0782849329888697	0
202	6	6	7	6	7	6	3	1	5	5	2	7	2	7	6	5	7	1	7	7	7	5	7	7	7	7	7	2	1	7	7	6	7	7	7	2	4	1	5	7	7	6	7	7	.078512875157956	0
134	5	5	6	4	6	6	7	4	5	6	6	5	5	7	6	5	5	5	6	6	6	5	6	6	5	5	6	5	4	6	6	4	5	7	6	4	4	2	6	6	6	6	4	6	.0788233359080718	0
754	7	6	6	6	7	6	7	4	5	5	4	7	6	7	6	7	6	4	5	6	5	7	6	6	6	6	6	3	1	6	7	4	6	7	7	3	5	2	5	4	6	5	7	6	.0790558273507622	0
500	4	5	5	5	5	5	2	4	3	3	3	5	4	6	2	5	6	4	7	6	6	3	7	2	4	6	7	2	1	4	5	6	6	6	6	5	4	2	4	6	6	4	3	6	.0790936480439583	0
401	5	7	7	4	5	7	3	1	5	7	6	6	4	7	7	6	7	4	6	7	7	5	5	4	7	7	7	6	1	6	4	2	5	7	5	3	6	1	6	6	7	5	6	5	.0798206612438493	0
502	6	7	5	4	6	6	4	1	6	6	6	6	3	6	4	6	6	5	5	6	5	6	6	5	6	7	6	6	1	6	6	4	6	5	6	3	6	1	6	4	6	4	6	5	.0799711481901663	0
278	5	6	6	5	7	7	4	3	4	4	5	6	3	7	6	6	7	3	6	6	6	3	6	4	5	6	6	3	2	6	6	7	6	6	5	4	2	2	7	7	7	6	5	7	.0800512117818497	0
268	6	7	6	3	7	7	4	3	4	4	2	6	5	7	6	6	7	1	6	6	6	4	6	6	4	7	6	1	1	4	6	6	6	7	6	3	4	1	6	7	6	7	6	7	.080542638091959	0
91	5	7	5	5	6	6	7	3	5	6	5	5	5	6	4	6	6	1	6	5	6	3	5	3	4	6	6	3	2	3	6	5	5	7	5	2	3	2	4	5	5	4	3	6	.0816177133647455	0
27	7	7	7	6	6	7	1	3	5	6	6	6	4	7	7	6	6	1	6	6	6	6	7	5	6	7	7	7	1	6	6	7	6	7	6	1	6	1	7	6	7	7	7	6	.0818143592397564	0
556	6	5	7	4	7	6	2	2	5	4	5	6	6	7	7	7	6	2	5	5	6	4	5	4	5	6	7	5	1	6	6	6	6	6	5	4	4	1	5	7	7	5	5	7	.0826179777400628	0
236	6	5	6	4	5	5	2	4	4	4	4	6	2	6	7	3	6	3	5	6	6	4	5	4	4	5	5	4	2	6	6	5	6	7	6	3	3	5	6	6	6	3	3	5	.0827002988833183	0
117	5	6	6	5	5	5	3	4	5	6	4	6	3	7	5	6	5	4	6	7	7	5	6	4	6	6	6	4	4	5	6	5	6	7	6	4	4	3	5	6	7	3	6	6	.0828026512925885	0
3	7	6	4	4	5	5	2	3	4	4	3	5	2	7	5	6	5	2	4	6	6	4	7	3	5	6	6	2	1	4	6	4	5	7	6	3	3	1	6	2	5	2	4	5	.0828762140187198	0
558	6	4	5	5	6	3	6	3	4	3	4	6	5	7	4	5	6	1	6	6	6	4	6	5	4	4	6	4	1	4	7	7	7	7	7	7	4	1	5	3	7	6	7	7	.0836004400178614	0
101	6	5	4	4	5	5	3	4	5	4	3	5	4	6	4	4	5	4	3	4	5	2	4	3	2	4	5	3	2	3	4	4	4	4	4	5	3	3	4	3	5	4	4	4	.0841714329010094	0
380	5	6	4	4	6	6	1	4	3	4	2	4	3	6	5	5	6	3	6	5	6	4	6	3	3	6	6	5	1	3	6	6	4	6	4	6	3	1	3	6	6	3	4	6	.0842263191332452	0
112	5	6	7	3	5	7	6	3	5	6	6	6	4	7	7	4	6	2	6	5	6	6	5	2	6	7	7	6	3	6	5	2	5	7	4	1	5	2	7	5	6	7	7	5	.0845214097674666	0
87	4	6	4	6	6	3	5	5	3	3	2	5	3	7	4	6	6	2	5	6	6	2	5	3	3	4	6	2	1	3	6	5	6	6	5	4	2	1	3	1	7	3	4	6	.0854523821079798	0
184	7	7	7	5	6	6	5	4	6	6	6	6	4	7	5	6	7	2	5	5	6	7	7	4	6	7	7	6	4	7	6	4	6	7	6	2	7	2	6	5	7	4	4	7	.0856732905792658	0
398	7	7	7	4	6	7	6	4	6	6	6	7	4	7	7	3	7	4	7	7	7	7	6	6	6	6	7	6	5	7	6	4	7	7	7	4	6	3	6	5	6	4	4	7	.0857396533043918	0
469	6	7	7	3	6	7	5	3	6	7	5	7	7	6	5	5	5	2	4	5	5	7	6	4	7	7	7	6	4	6	7	2	6	6	6	3	7	1	6	3	6	7	7	6	.0863470331155501	0
295	7	7	6	6	6	7	3	3	5	6	4	7	5	7	7	6	7	4	7	7	7	5	7	4	5	7	7	2	1	3	7	6	7	7	7	7	4	4	7	6	7	5	6	7	.086767745854533	0
148	6	5	7	5	6	4	1	2	5	6	3	7	6	7	7	6	7	3	7	6	7	5	6	2	3	3	5	2	1	5	6	3	6	7	7	5	3	1	5	4	7	3	3	6	.0883397772000571	0
159	7	7	7	3	6	7	7	2	5	5	2	6	6	7	5	5	7	1	6	6	6	4	6	5	7	7	7	4	3	6	7	5	6	7	5	2	3	1	6	6	7	4	7	7	.0889692203640547	0
302	6	7	7	4	6	7	3	2	5	7	6	7	5	7	4	5	6	3	6	5	6	6	5	5	7	6	6	6	4	6	7	5	6	7	5	4	6	4	7	5	4	6	4	6	.0890424502011241	0
464	6	6	7	6	6	5	6	3	4	6	5	5	4	6	5	4	7	3	6	6	5	5	5	4	5	5	6	4	1	6	7	7	6	7	6	5	4	3	5	1	7	4	5	7	.0895040976574014	0
346	6	6	6	6	6	6	6	5	4	5	3	6	6	6	6	6	6	1	6	6	6	3	7	6	2	6	6	2	1	6	7	5	6	6	6	4	3	3	3	7	6	6	6	6	.0896864097221557	0
413	7	5	5	4	6	4	1	3	4	4	3	6	5	7	6	6	7	4	6	6	5	5	6	3	5	5	7	3	2	5	6	6	6	6	5	4	4	2	7	4	4	3	4	6	.0897832996311209	0
212	7	7	7	6	7	7	4	1	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	4	5	7	7	7	3	7	6	3	6	7	6	6	7	1	7	2	7	7	7	6	.0898707588865079	0
115	7	6	6	7	5	7	4	1	5	7	7	6	6	7	5	7	7	4	7	7	7	7	7	7	7	7	7	7	1	7	7	3	7	7	6	7	7	1	7	7	7	7	7	6	.0900098129962914	0
252	4	5	7	5	6	6	3	4	6	5	5	6	6	6	5	4	7	3	7	7	7	5	7	6	6	6	6	6	1	6	6	3	5	6	6	4	4	4	5	7	7	5	6	6	.0905115806591857	0
251	6	7	7	4	6	6	5	2	6	5	4	7	4	6	7	7	5	2	5	6	5	4	5	5	5	6	5	2	1	6	5	6	7	6	7	4	4	2	4	7	7	5	4	6	.0915474045335785	0
691	7	6	5	5	5	5	5	2	5	5	2	6	5	5	5	5	5	2	5	4	4	4	4	5	4	5	6	4	2	6	6	4	6	5	5	4	5	2	6	2	6	6	6	5	.0919683648875417	0
461	5	6	5	4	6	5	1	2	3	3	2	6	4	6	6	6	6	2	4	5	5	2	5	4	4	5	5	3	1	4	7	3	6	6	6	2	3	1	6	1	6	2	2	6	.0923285171811028	0
40	5	5	4	5	5	6	1	3	4	4	2	7	4	7	4	6	7	4	7	7	6	5	7	4	6	7	6	2	1	4	6	5	6	6	6	7	2	1	6	7	7	5	7	6	.092477538013757	0
314	6	6	7	5	5	4	3	3	3	4	2	5	4	7	3	7	6	5	5	6	6	3	6	5	4	5	6	3	1	5	6	4	5	7	7	5	4	4	5	6	7	4	6	7	.0927359392493303	0
52	5	5	4	5	4	5	3	4	3	5	3	3	3	6	5	5	4	4	5	4	4	5	5	3	3	4	7	5	1	3	4	5	4	7	4	2	3	2	4	2	5	4	5	4	.0933861759578796	0
141	7	7	7	6	7	7	1	3	6	7	3	7	5	7	6	7	7	3	7	7	7	6	7	7	5	6	7	4	1	6	7	6	7	7	7	1	2	1	6	5	7	6	6	7	.0936065269880706	0
316	7	7	7	6	7	7	2	1	2	3	2	7	6	7	6	7	7	1	6	7	7	3	7	5	6	7	7	5	1	5	7	5	6	7	6	2	4	1	5	1	7	2	5	7	.0937546767915699	0
208	7	7	5	5	6	7	4	3	5	7	4	7	4	6	7	5	5	2	4	5	5	7	4	4	6	7	7	5	2	7	5	5	6	6	5	3	6	1	6	7	4	5	6	5	.0938225385789423	0
357	6	6	5	3	5	7	6	1	3	4	1	6	1	6	5	6	6	4	5	6	6	4	4	3	6	6	6	3	1	5	5	5	5	6	5	1	3	1	6	6	7	4	4	5	.0941968522681664	0
26	6	6	5	5	7	6	2	2	5	5	4	4	5	7	7	4	6	2	6	6	5	6	6	3	3	6	6	4	1	4	6	5	6	6	5	2	6	2	4	6	7	2	4	6	.0942191411124032	0
124	6	7	6	4	6	7	5	3	6	6	6	5	5	7	5	4	3	4	4	4	4	6	5	5	7	7	7	6	1	6	6	5	5	7	5	2	6	2	6	5	3	6	6	4	.0942218457873554	0
403	6	6	4	5	5	6	5	4	5	5	4	5	4	6	6	5	6	4	5	5	5	3	3	6	5	7	5	5	3	4	4	2	4	6	4	4	3	2	6	3	7	6	5	5	.094575161721341	0
490	6	7	5	4	6	7	6	3	6	6	5	4	5	6	6	5	4	4	5	6	5	7	5	5	6	7	6	5	4	4	5	2	3	5	4	4	7	2	6	2	6	5	7	4	.0946647688713895	0
266	7	6	7	5	6	6	2	1	6	6	2	7	5	7	7	6	7	5	7	6	7	5	7	5	2	6	7	4	2	7	6	3	6	7	6	1	5	4	7	2	6	5	6	6	.0948318648546776	0
33	6	6	6	4	6	5	4	2	4	4	4	6	4	6	5	6	6	4	6	5	4	3	4	1	4	6	7	4	1	5	5	6	4	7	4	2	4	2	4	1	6	3	2	5	.094965634348434	0
271	6	6	7	4	6	3	4	2	6	6	4	7	6	7	6	6	6	3	6	6	7	5	7	6	5	5	5	3	1	6	6	4	7	6	7	2	4	1	6	2	7	6	7	7	.0952458257633348	0
581	5	5	7	4	5	5	4	7	3	6	6	7	6	7	5	5	7	4	5	6	6	4	5	4	4	5	6	5	1	5	7	5	5	6	5	4	4	2	4	4	7	5	6	5	.0954826710122723	0
577	6	5	3	5	6	6	6	1	5	4	2	6	6	6	3	6	6	5	5	5	5	4	6	6	4	5	5	3	1	4	6	3	4	6	4	5	4	4	5	4	6	5	5	5	.0958288678614915	0
512	7	7	5	4	6	7	2	2	3	5	4	6	6	7	5	7	5	2	6	5	6	7	6	4	7	7	6	6	1	6	7	6	6	7	6	3	7	1	5	1	4	4	5	6	.095908195972302	0
77	6	6	7	3	7	7	7	1	6	7	6	7	5	7	7	5	5	3	3	4	5	5	5	7	5	6	6	7	4	6	7	4	6	6	5	3	5	5	5	3	7	7	6	6	.0959181883989427	0
82	7	7	7	6	7	7	3	5	6	7	6	6	4	7	7	4	7	3	7	7	7	6	6	6	5	6	7	4	1	7	7	6	7	7	5	2	6	1	6	7	6	5	7	7	.0963421851231704	0
274	5	6	3	5	7	5	3	3	4	3	3	5	3	6	4	6	7	3	7	6	6	1	7	4	7	6	6	3	1	4	6	4	6	6	6	5	3	1	6	7	6	4	6	6	.096951685418677	0
66	7	7	6	3	6	7	5	3	6	5	3	6	5	7	5	6	5	3	3	5	4	5	6	3	5	6	7	5	1	6	4	5	5	7	4	1	5	2	6	4	7	6	6	5	.097643975324201	0
710	4	6	5	6	6	6	2	2	4	4	4	4	4	5	6	6	5	1	5	5	4	3	3	1	3	6	6	4	1	5	5	6	4	7	4	2	3	1	6	6	5	2	2	4	.0977975884383444	0
135	7	6	6	7	7	6	4	3	4	4	4	6	6	7	5	5	7	1	7	7	7	4	7	6	6	6	7	4	1	7	7	7	7	7	7	7	5	1	4	1	7	3	6	7	.0980598532809056	0
503	6	7	5	6	7	7	3	1	5	5	4	7	4	7	4	7	7	1	7	7	7	6	7	2	5	7	7	4	1	4	7	7	6	7	7	3	4	1	5	7	7	4	7	5	.0981482029080796	0
491	6	5	7	3	6	7	4	1	6	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	1	7	7	3	7	7	7	7	7	1	7	7	4	7	7	7	.098288719192429	0
557	6	5	3	6	6	5	6	5	3	4	4	6	6	7	7	6	6	4	5	6	6	4	7	4	3	5	5	1	1	5	7	6	5	6	6	6	4	4	5	7	6	5	5	6	.0985007693388198	0
689	6	7	5	4	7	7	7	2	5	6	6	7	7	7	3	7	5	4	5	5	5	7	6	3	6	7	7	7	4	6	7	2	6	6	6	3	7	2	5	6	7	5	5	6	.0996133781492462	0
485	7	5	6	5	5	6	3	3	6	7	5	7	5	7	7	6	7	5	6	7	7	7	6	7	6	6	5	6	1	7	5	4	7	5	7	4	6	4	6	2	5	5	6	6	.0999312997731195	0
280	6	7	7	6	7	7	3	1	6	6	4	7	1	7	7	5	7	1	7	7	7	7	7	4	5	7	7	4	1	7	7	7	7	7	7	1	6	1	7	7	7	1	5	7	.100623609746931	0
349	6	7	5	4	5	7	1	4	4	5	5	5	4	6	7	6	6	2	6	5	5	6	4	2	7	7	7	4	3	5	6	3	5	6	4	2	7	3	4	2	6	6	6	5	.100872841326212	0
