caseseq	workstat	marital	children	religion	race	control	attmar	attrole	sel	atthouse	age	educ
120	3	2	1	3	1	6	38	40	49	23	4	7
121	1	2	1	4	2	7	22	40	49	17	6	12
122	1	1	1	1	2	6	25	33	52	23	1	13
123	1	2	1	4	2	8	21	34	62	23	5	12
124	1	2	0	3	2	5	27	35	75	22	4	16
125	1	3	1	1	1	6	25	40	51	22	8	12
126	3	2	1	2	1	10	23	34	43	28	3	12
127	1	2	1	2	1	7	18	38	49	17	2	12
128	2	2	1	3	1	6	20	26	15	27	3	12
129	1	2	0	3	1	5	22	29	62	18	3	12
130	2	2	1	2	2	8	35	38	19	26	2	12
131	3	2	1	2	1	7	20	41	66	21	5	13
132	1	2	1	1	1	9	23	37	31	21	4	14
133	1	3	1	2	1	6	0	32	39	24	6	10
134	2	2	1	4	1	5	17	28	92	26	2	16
135	3	2	1	1	1	6	22	46	71	21	5	12
136	1	2	0	3	1	7	28	37	57	18	1	14
137	1	2	1	3	2	7	16	43	17	24	4	11
138	2	1	0	2	1	7	16	45	0	28	8	10
139	2	2	1	4	1	8	16	40	11	26	3	13
140	3	2	1	3	2	6	16	40	52	25	2	10
141	1	2	1	3	1	7	12	36	21	23	6	11
142	1	2	1	2	1	6	16	26	21	22	2	12
143	1	2	1	2	1	6	12	48	36	19	8	12
144	1	2	1	4	1	7	15	37	72	26	5	14
145	1	2	1	4	1	10	37	26	84	29	3	16
146	3	2	1	4	1	7	34	35	77	20	2	12
148	2	2	1	2	1	6	15	45	46	20	5	13
149	1	2	0	2	1	7	15	30	19	19	2	15
150	2	2	1	3	1	6	26	39	84	24	7	15
151	1	2	1	3	1	5	23	50	62	21	6	15
152	2	2	1	3	1	9	42	35	11	32	7	10
153	2	2	1	3	1	6	22	37	65	18	3	14
154	2	2	1	3	1	5	12	39	59	22	5	15
155	1	3	1	2	2	7	35	43	11	27	6	9
156	1	1	0	3	1	6	0	30	7	21	4	12
157	1	1	0	3	1	10	25	33	44	19	1	16
158	1	2	1	3	1	6	16	31	86	25	6	12
159	1	1	0	1	1	6	25	32	71	17	1	17
160	1	2	0	3	1	8	28	26	87	25	2	14
166	2	1	0	1	1	9	30	40	44	31	1	12
167	1	2	0	3	1	5	12	25	77	16	1	12
183	3	2	1	2	1	7	24	34	49	17	7	12
184	1	3	1	1	1	7	20	24	62	14	4	17
185	1	2	1	2	2	7	38	44	90	30	7	14
187	1	2	1	2	1	8	21	40	71	25	5	12
190	3	2	1	1	1	6	22	31	39	28	2	12
192	1	2	1	3	1	5	16	29	92	22	3	16
202	3	2	1	3	1	6	14	43	8	24	8	12
203	2	2	1	1	1	6	15	38	74	21	7	12
204	1	1	0	3	1	6	35	43	74	25	3	12
205	3	2	1	2	1	9	31	37	19	27	2	12
206	1	3	1	3	1	6	16	32	72	20	5	12
208	1	2	1	2	1	5	20	23	65	26	4	20
210	2	2	1	4	1	10	37	28	80	25	7	12
212	1	1	0	4	1	7	35	33	62	27	1	16
213	3	2	1	2	1	8	12	35	12	23	8	12
214	2	2	1	3	1	6	26	35	37	27	3	13
225	1	2	1	4	1	7	41	33	59	21	4	10
226	1	2	1	3	1	7	11	45	0	22	5	11
227	3	2	1	3	1	5	27	49	50	19	7	14
228	3	2	1	2	1	9	43	31	62	26	2	12
229	1	2	1	4	1	8	25	36	19	25	6	12
230	1	2	1	2	1	5	27	18	66	34	6	20
231	3	2	1	1	2	8	17	37	71	27	4	16
232	1	2	1	3	1	6	23	31	49	22	5	12
233	1	2	0	1	1	5	13	19	61	14	4	12
234	1	2	1	3	1	9	29	38	62	29	4	13
235	3	3	1	2	1	10	20	26	16	29	2	15
236	2	2	1	1	1	7	17	33	66	26	4	14
237	2	2	1	3	1	8	14	33	33	17	1	12
238	2	2	1	2	1	8	18	35	44	22	3	16
239	1	2	1	3	1	6	17	43	49	20	8	12
240	2	2	1	1	1	5	15	47	37	30	8	11
241	2	2	1	3	1	5	14	33	87	17	7	16
242	2	2	1	4	1	7	22	34	78	21	4	14
243	3	2	0	1	1	7	15	28	63	22	1	12
244	2	2	1	1	1	9	29	38	52	29	2	13
245	2	2	1	4	1	8	22	28	92	22	7	17
246	1	3	1	3	1	9	25	34	13	20	5	12
247	3	2	1	3	1	7	32	36	62	30	6	12
248	2	2	1	4	1	7	20	43	62	25	7	15
249	1	2	1	4	1	8	19	25	49	18	2	13
250	2	2	1	2	1	7	21	31	62	19	4	16
251	3	2	1	2	1	6	27	30	74	24	2	14
252	2	2	1	2	1	5	19	44	38	22	3	12
253	1	3	1	2	2	7	25	38	8	21	8	6
254	2	2	1	4	1	8	34	38	96	29	4	13
255	1	2	1	1	1	6	18	37	87	22	5	13
258	3	2	1	3	1	7	15	43	19	26	1	12
259	1	1	1	1	1	6	25	39	17	19	2	13
260	1	1	0	4	1	10	35	37	44	23	1	14
261	1	3	1	2	1	6	20	49	19	19	4	14
262	3	2	1	2	2	6	16	49	34	31	3	12
263	1	2	1	1	1	8	16	28	41	26	2	14
264	2	2	1	4	1	5	21	29	62	23	2	13
265	3	3	1	2	2	8	35	38	0	29	8	6
266	2	2	1	3	1	7	25	42	44	22	5	12
267	1	2	1	1	2	6	29	23	80	29	8	19
268	3	3	1	3	1	6	30	33	17	23	7	12
269	2	2	1	2	1	5	16	44	62	17	5	15
270	1	2	1	3	1	6	16	27	65	26	3	14
271	2	2	1	1	1	5	15	44	37	25	2	13
272	2	2	1	4	1	9	24	39	39	25	6	13
273	1	3	1	3	1	6	30	33	70	19	4	19
274	2	2	1	1	1	7	14	55	62	16	6	12
276	3	2	0	3	1	5	29	28	53	24	0	15
277	1	2	1	2	1	8	31	39	87	29	0	14
278	3	2	1	3	1	8	13	39	13	20	0	13
279	1	2	1	3	1	8	42	29	25	25	0	13
280	2	3	1	1	1	8	35	49	62	16	5	12
289	3	2	0	3	1	7	13	31	65	35	2	16
290	3	2	1	2	1	7	26	42	39	24	8	10
291	1	2	1	3	1	6	19	43	19	19	6	12
292	1	1	0	1	1	7	39	32	44	25	1	17
293	1	2	1	2	1	8	24	24	62	29	3	12
294	1	3	1	4	1	6	39	34	51	25	6	12
295	3	2	1	3	1	7	18	37	44	29	2	14
299	2	2	1	3	1	7	28	41	45	20	2	12
300	3	3	0	3	1	6	39	37	0	25	5	16
301	2	2	1	3	1	6	29	26	65	31	5	12
302	1	2	1	1	1	6	26	29	84	33	8	16
303	2	2	1	4	1	7	22	39	36	24	2	13
304	1	2	1	2	1	6	30	32	87	26	7	14
305	3	3	0	3	1	6	25	33	75	20	3	11
306	1	2	1	2	1	6	16	39	66	17	6	12
307	1	3	1	2	1	5	35	34	51	25	4	15
308	1	2	1	3	1	9	16	23	62	24	6	16
309	1	1	0	1	1	8	20	25	11	27	1	15
310	3	3	1	3	1	8	30	33	74	25	3	13
311	1	3	1	2	1	7	39	35	44	28	8	12
312	1	2	1	4	1	5	13	21	62	29	3	13
313	3	2	1	4	1	8	20	27	62	27	6	15
314	3	2	1	4	1	8	22	37	74	24	2	12
315	2	2	1	3	1	8	21	32	36	23	5	12
316	2	2	1	2	1	5	16	32	87	19	3	12
317	1	2	1	4	1	7	17	43	62	23	4	12
318	2	2	0	4	1	5	17	25	84	24	7	14
319	2	2	1	4	1	6	12	40	62	21	8	17
320	2	2	1	3	1	6	20	34	87	22	4	15
321	3	2	1	4	1	6	17	38	65	21	5	13
322	3	2	1	4	1	6	25	35	61	30	4	12
323	1	2	1	1	1	5	12	22	92	32	4	24
324	1	2	1	3	1	5	25	31	62	21	3	17
325	3	1	0	1	1	7	39	30	85	19	2	18
326	2	2	1	3	1	6	15	31	70	24	6	12
327	2	2	1	3	1	8	28	29	65	28	7	15
328	3	3	1	3	1	9	44	44	62	28	7	10
329	2	2	1	4	1	9	35	27	13	29	2	13
330	1	2	0	4	1	5	13	24	62	29	2	13
335	1	3	1	3	1	6	30	35	71	23	7	18
336	1	2	1	3	1	7	16	29	26	26	4	12
337	1	2	1	1	1	6	21	25	62	22	4	20
338	1	1	0	2	2	9	44	32	45	1	1	13
339	3	2	1	2	2	7	23	46	7	25	1	12
340	3	2	1	2	2	7	22	36	77	19	4	12
341	1	2	1	3	1	6	16	37	74	22	7	13
342	2	2	1	3	1	8	20	43	87	18	6	13
343	2	2	1	3	2	6	12	43	15	25	2	10
344	1	2	1	3	1	6	19	37	44	23	6	12
345	1	2	1	2	2	8	19	38	19	19	6	12
346	1	1	0	4	1	5	20	41	62	2	1	15
347	1	2	1	3	1	6	28	34	7	26	3	12
348	1	2	1	3	1	7	23	26	40	24	6	15
349	1	2	0	3	1	5	25	31	17	30	3	12
355	1	2	0	4	1	6	25	27	0	30	2	16
357	1	2	1	1	1	6	17	38	85	22	8	17
358	1	2	1	1	1	8	42	36	33	26	4	12
359	1	2	0	4	1	7	21	22	65	30	2	16
361	3	2	1	3	1	7	28	39	62	25	7	12
362	1	2	1	3	1	8	24	35	35	24	3	12
363	2	2	1	3	1	6	26	35	87	23	7	12
365	1	2	1	3	1	5	14	36	27	18	6	13
367	2	2	1	1	1	5	21	27	92	23	3	12
369	1	2	1	1	1	7	23	27	35	34	3	12
370	2	2	1	3	1	7	22	33	62	23	4	11
372	1	2	1	2	2	7	18	45	18	13	4	13
374	3	2	0	4	1	7	19	36	39	27	8	12
378	1	2	1	1	1	5	26	23	87	21	4	12
379	3	1	0	4	1	8	58	29	62	28	2	16
380	1	3	1	4	1	7	0	29	61	28	6	12
381	1	3	0	3	1	6	35	30	44	20	1	12
382	2	2	1	3	1	5	17	45	92	21	7	14
383	1	3	1	1	1	7	30	44	16	25	8	11
384	1	3	0	3	1	7	25	41	55	27	1	12
385	3	2	1	3	1	7	14	41	11	23	7	12
386	1	3	1	2	1	7	20	30	17	25	5	15
387	1	2	1	2	1	7	23	29	49	22	2	12
392	2	3	1	1	1	6	20	32	22	24	3	13
397	1	2	1	1	2	5	16	35	62	15	6	11
398	1	3	0	1	1	6	30	23	60	33	3	20
399	1	2	0	2	1	9	12	25	13	24	1	13
400	1	1	0	4	2	7	25	23	61	29	2	16
401	1	2	1	2	1	5	42	35	44	21	5	12
402	2	2	1	3	1	8	23	35	49	26	4	14
403	1	1	0	4	1	6	35	27	62	29	4	19
404	1	2	1	4	1	7	20	30	62	21	6	14
405	2	2	1	3	1	6	16	49	92	21	6	18
406	1	3	1	2	1	7	39	35	77	18	7	14
407	1	1	0	3	1	6	20	42	44	2	1	14
413	3	3	1	3	1	7	0	31	0	28	4	15
414	2	2	1	2	1	7	14	35	44	20	7	14
417	3	2	1	1	1	8	33	27	87	27	3	13
418	2	2	1	3	1	0	18	40	62	23	4	13
420	3	2	1	4	1	8	20	28	39	27	3	13
421	3	2	1	2	2	8	28	32	62	27	4	14
424	3	2	1	3	1	8	16	33	62	25	1	12
425	1	2	1	3	1	6	30	33	74	22	7	14
434	2	2	1	4	1	6	23	37	61	29	4	12
435	3	2	1	4	1	6	12	41	62	23	8	16
436	2	2	0	4	1	8	16	43	62	14	1	12
437	1	3	0	2	1	8	35	35	62	28	8	12
438	1	2	1	4	1	7	24	24	77	29	3	14
439	1	3	1	1	1	5	39	36	62	27	4	14
440	2	3	1	3	1	5	35	32	0	23	8	13
441	1	2	1	4	1	9	17	40	62	23	3	14
442	2	2	1	4	1	7	22	34	43	20	3	13
443	1	3	0	1	1	7	0	21	7	24	2	18
444	1	2	1	4	1	7	22	38	61	26	4	14
445	2	2	0	4	1	6	14	24	92	23	2	17
446	3	3	1	2	1	5	25	28	40	25	3	14
447	1	2	1	4	1	7	26	31	49	28	4	12
448	1	2	1	3	1	6	12	43	74	16	6	12
451	1	1	0	4	1	7	20	18	39	29	1	15
452	3	3	1	4	1	6	39	39	61	25	8	11
453	1	2	1	1	1	8	14	32	66	22	6	14
454	1	2	1	1	1	8	33	22	77	29	4	14
455	1	2	1	4	1	7	23	26	40	23	8	18
456	1	2	1	2	2	8	21	44	32	26	2	6
457	1	2	1	2	2	8	21	37	49	19	2	9
458	1	3	0	3	1	5	20	40	65	27	2	13
459	1	2	1	2	2	8	20	33	25	21	5	16
460	1	2	0	2	1	6	17	42	19	18	1	12
461	2	2	1	2	1	6	11	31	34	19	7	12
462	1	2	1	3	2	8	13	42	62	23	1	11
463	1	3	1	1	2	7	11	38	61	19	7	12
464	3	2	1	3	1	5	16	41	62	21	7	12
465	2	2	1	3	1	7	17	46	15	23	1	12
466	1	2	1	4	1	7	21	33	65	28	2	13
467	3	2	1	4	1	5	24	33	15	24	2	11
469	1	2	1	3	1	6	15	25	65	27	2	12
472	3	3	1	3	1	10	35	40	0	27	3	9
473	1	3	0	3	1	8	25	28	44	25	1	12
474	3	3	1	3	1	7	44	34	17	29	4	12
476	2	2	1	3	1	7	17	44	48	19	6	11
479	3	2	1	4	1	7	15	33	34	27	7	12
480	1	3	1	1	1	5	20	27	16	31	5	12
481	1	2	0	3	1	6	18	41	62	18	5	14
482	1	3	1	1	1	5	35	41	74	23	7	14
483	1	3	1	4	1	8	44	21	84	32	7	19
484	1	3	1	2	1	6	35	39	44	20	6	12
485	1	2	1	3	1	7	18	38	60	21	2	12
486	2	2	1	3	1	6	18	40	27	25	3	14
487	2	2	1	4	1	5	13	30	75	21	1	14
488	3	2	1	3	1	8	27	33	62	22	2	12
489	1	2	0	3	1	6	22	31	44	29	1	12
490	1	1	0	3	1	6	30	30	75	23	1	16
491	1	2	0	1	1	5	14	39	78	20	3	12
492	2	2	1	3	1	5	24	32	80	21	5	14
493	1	2	1	4	1	6	18	35	77	26	4	16
494	1	2	1	2	1	6	18	32	90	21	7	18
495	1	2	1	4	1	8	19	27	62	24	3	18
496	2	2	1	2	1	6	24	40	65	26	1	13
497	1	2	1	4	1	6	15	28	87	30	5	13
498	1	2	0	4	1	7	16	42	39	18	6	17
499	2	2	1	3	1	6	17	32	62	22	7	12
500	2	2	1	3	1	7	21	40	62	25	8	13
501	2	2	1	1	1	7	16	33	35	21	3	12
502	2	2	1	3	1	5	13	35	42	19	6	12
503	3	2	1	2	1	6	16	30	53	23	4	12
504	2	2	1	3	1	6	12	36	84	22	4	15
505	1	2	1	2	1	6	24	35	22	21	6	13
506	2	2	1	2	1	5	28	45	65	22	6	9
507	1	2	1	2	1	8	38	27	44	24	1	12
508	1	2	0	2	1	7	12	38	87	18	8	14
509	1	2	1	3	1	8	15	39	33	18	7	12
510	2	2	1	3	1	7	24	43	13	24	7	12
511	3	3	1	1	1	6	44	20	60	25	3	12
512	1	2	1	3	1	7	14	41	62	19	7	14
513	1	2	1	3	1	9	16	36	62	27	6	12
514	1	2	1	4	1	9	28	30	87	29	7	14
515	3	2	1	3	1	9	33	32	87	22	7	13
516	2	2	1	4	1	6	17	33	66	25	4	14
517	2	2	1	4	1	6	29	26	92	27	2	17
518	1	3	1	2	2	5	30	34	74	26	2	14
519	1	2	1	3	1	6	18	40	72	28	6	17
520	2	2	0	3	1	9	17	45	84	19	8	14
521	1	3	1	3	1	6	35	35	11	23	7	16
522	1	2	1	1	1	6	13	28	8	33	6	13
523	3	1	0	4	1	6	53	40	44	24	1	14
524	1	2	1	3	1	8	28	35	18	28	8	12
525	3	2	1	3	1	6	23	35	15	28	1	12
526	3	2	1	2	1	6	12	28	15	24	3	11
527	2	2	1	2	1	6	17	45	19	21	6	12
528	3	2	1	4	1	8	27	39	22	31	6	14
529	1	2	1	3	1	6	15	50	40	23	4	12
530	2	2	0	3	1	6	21	38	62	26	1	12
533	2	2	1	2	1	7	44	43	80	26	4	12
534	1	2	1	2	2	9	25	42	19	26	6	12
535	2	2	1	4	1	7	18	40	62	24	4	13
536	2	2	0	1	1	5	12	36	84	18	5	14
538	1	3	1	2	1	8	25	31	51	21	7	13
539	1	2	1	2	1	7	16	35	62	19	3	13
540	1	3	0	3	1	9	20	32	52	17	2	17
547	1	2	0	2	1	7	22	26	87	24	2	15
548	1	3	0	1	1	7	16	35	40	24	1	13
549	3	3	1	3	1	8	30	27	17	31	1	13
550	3	2	0	2	1	7	17	36	40	19	1	12
551	3	2	1	1	1	7	13	26	92	28	3	12
552	2	2	1	2	1	9	23	36	87	23	7	13
553	1	2	1	1	1	6	23	31	52	26	5	16
554	1	1	0	2	1	8	30	29	62	26	2	13
555	1	2	1	3	1	6	23	27	52	18	5	16
556	2	2	1	2	1	5	20	41	62	16	7	12
557	2	2	1	4	1	7	17	35	92	29	3	14
558	2	2	1	2	1	6	14	32	11	14	4	14
559	2	2	1	3	1	8	18	42	49	23	7	12
560	3	2	0	4	1	9	36	36	62	29	3	12
567	1	2	1	3	1	7	19	45	53	19	4	13
568	3	2	1	2	1	9	15	43	66	22	4	12
569	2	2	1	2	1	5	14	41	48	20	5	13
570	1	3	1	2	1	6	49	41	16	22	7	11
571	2	2	1	3	1	5	16	32	81	21	4	16
572	2	2	1	2	1	10	18	46	62	23	4	12
573	2	2	1	4	1	7	30	26	92	26	4	13
574	1	3	1	1	1	6	20	31	16	18	2	12
575	2	2	1	3	1	6	21	38	28	18	5	12
576	3	2	1	2	1	7	33	33	80	28	3	13
577	1	2	1	2	1	6	24	34	41	31	3	13
578	1	2	1	3	1	6	13	27	74	22	5	15
579	3	2	1	2	1	7	15	28	62	28	3	16
580	1	3	1	3	1	7	44	37	74	20	5	12
581	2	1	0	4	1	7	25	44	39	20	1	14
582	3	2	1	2	2	7	29	38	8	26	1	12
583	1	2	1	4	1	6	13	28	62	27	6	14
584	2	2	1	2	2	6	20	42	13	11	2	4
585	1	2	0	1	1	10	32	24	17	26	1	12
586	1	2	1	9	1	6	16	36	52	27	7	12
587	1	2	1	3	1	6	11	38	13	16	7	11
588	1	2	1	3	1	7	21	46	37	12	6	14
589	2	2	1	2	1	8	14	36	66	20	6	14
590	1	3	0	3	1	6	35	36	19	19	7	12
591	2	2	1	2	1	7	27	26	16	26	2	14
592	1	2	1	3	1	7	11	42	49	20	7	13
593	1	3	0	3	1	6	25	27	62	22	2	14
683	1	2	1	3	1	7	24	31	55	30	3	12
685	1	2	1	4	1	7	18	35	80	25	5	12
686	1	3	1	3	1	7	39	33	62	23	5	13
687	2	3	0	3	1	5	35	35	0	22	8	13
688	1	2	1	2	1	6	40	34	27	24	6	14
689	1	1	0	2	1	5	30	34	62	23	6	17
690	1	2	0	3	1	5	30	39	66	27	1	13
691	3	2	1	2	1	6	16	38	60	28	5	16
706	2	2	1	1	1	9	25	35	84	24	7	12
707	1	2	1	4	1	6	27	40	41	17	8	12
708	2	2	1	3	1	9	26	43	27	22	5	10
709	2	2	1	4	1	6	20	29	87	23	3	17
710	1	2	1	2	1	8	20	29	0	16	8	16
711	2	2	0	4	1	7	14	39	90	18	7	13
717	2	2	1	3	1	7	20	37	19	21	3	12
724	3	2	1	3	1	5	22	36	80	19	7	14
754	1	2	1	3	1	5	14	36	58	17	6	12
755	2	2	1	2	1	5	20	42	80	17	7	12
756	2	2	1	3	1	7	12	41	87	19	7	14
757	2	2	0	3	1	6	20	35	65	23	7	12
758	2	2	1	4	1	6	19	45	52	18	6	12
