CASENO	ANDRM	FEM	MASC	ESTEEM	CONTROL	ATTROLE	SEL2	INTEXT	NEUROTIC
580	1	1	1	12	7	34	43	11	12
590	1	1	1	19	7	31	49	10	10
600	1	1	1	18	6	31	34	9	3
610	1	1	1	18	5	27	16	7	9
620	1	1	1	20	6	31	44	13	6
630	1	1	1	21	7	33	35	4	2
640	1	1	1	13	6	26	2.77143	14	17
650	1	1	1	13	6	45	19	13	5
660	1	1	1	22	8	39	22	5	10
670	1	1	1	26	9	42	19	10	16
680	1	1	1	20	7	40	62	5	9
690	1	1	1	20	8	27	17	11	12
700	1	1	1	23	6	31	52	6	9
710	1	1	1	14	6	27	52	11	9
720	1	1	1	22	9	36	62	6	11
730	1	1	1	22	10	46	62	4	18
740	1	1	1	15	7	38	8	18	11
750	1	1	1	12	6	38	13	14	2
760	1	1	1	16	8	36	66	12	2
770	1	1	1	16	7	35	80	14	4
780	1	1	1	22	6	34	27	3	8
790	1	1	1	17	6	38	60	9	1
800	1	1	1	13	8	29	0	8	3
810	2	2	1	17	6	31	39	4	5
820	2	2	1	18	8	48	8	10	10
830	2	2	1	15	5	43	22	13	2
840	2	2	1	14	7	52	11	11	15
850	2	2	1	16	6	45	45	7	15
860	2	2	1	11	8	26	15	13	4
870	2	2	1	18	9	38	2.77143	8.5	8
880	2	2	1	17	9	52	44	7	16
890	2	2	1	16	7	32	77	11	6
900	2	2	1	17	5	47	8	12	9
910	2	2	1	12	6	37	69	11.5	1
920	2	2	1	16	5	41	62	12	7
930	2	2	1	13	6	30	2.77143	16	13
940	2	2	1	14	7	40	2.77143	5	6
950	2	2	1	14	6	40	48	7	4
960	2	2	1	18	8	41	15	11	9
970	2	2	1	15	8	32	29	17	7
980	2	2	1	11	5	46	40	13	10
990	2	2	1	13	6	34	71	11	2
1000	2	2	1	14	9	35	39	13	0
1010	2	2	1	21	5	48	19	18	11
1020	2	2	1	21	6	40	53	11	12
1030	2	2	1	18	9	26	81	16	13
1040	2	2	1	20	6	39	40	9	3
1050	2	2	1	22	9	40	49	13	16
1060	2	2	1	15	7	34	38	5	6
1070	2	2	1	17	6	42	17	11	9
1080	2	2	1	19	7	38	65	17	6
1090	2	2	1	17	7	47	61	12	13
1100	2	2	1	14	7	47	62	13	15
1110	2	2	1	16	6	36	62	13	8
1120	2	2	1	22	6	40	49	11	19
1130	2	2	1	17	8	34	62	15	17
1140	2	2	1	24	10	34	43	14	16
1150	2	2	1	17	6	46	71	15	8
1160	2	2	1	15	7	37	57	11	5
1170	2	2	1	13	6	40	52	11	10
1180	2	2	1	12	6	26	21	4	8
1190	2	2	1	15	6	48	36	16	1
1200	2	2	1	14	6	45	46	14	11
1210	2	2	1	10	7	30	19	20	2
1220	2	2	1	24	9	35	11	4	11
1230	2	2	1	15	5	39	59	12	1
1240	2	2	1	15	6	30	7	11	2
1250	2	2	1	19	10	33	44	2	18
1260	2	2	1	13	6	31	2.77143	15	17
1270	2	2	1	21	9	40	44	15	3
1280	2	2	1	16	5	25	77	16	6
1290	2	2	1	14	7	34	49	18.5	12
1300	2	2	1	10	5	29	2.77143	13	2
1310	2	2	1	17	9	37	19	12	9
1320	2	2	1	14	8	35	12	13	8
1330	2	2	1	16	6	35	37	15	2
1340	2	2	1	16	7	45	0	9	2
1350	2	2	1	17	7	33	66	8	7
1360	2	2	1	19	6	43	49	4	11
1370	2	2	1	17	7	34	78	16	2
1380	2	2	1	16	7	43	62	9	7
1390	2	2	1	13	6	30	74	9.5	2
1400	2	2	1	18	7	38	8	5	16
1410	2	2	1	16	8	38	2.77143	18	16
1420	2	2	1	13	6	39	17	8	15
1430	2	2	1	18	7	42	44	13	9
1440	2	2	1	19	6	33	17	9	4
1450	2	2	1	16	5	44	37	15	7
1460	2	2	1	18	9	39	39	8	15
1470	2	2	1	20	7	55	62	11	4
1480	2	2	1	18	8	39	13	10	4
1490	2	2	1	15	6	43	19	5	9
1500	2	2	1	18	7	37	44	15	6
1510	2	2	1	15	6	39	66	16	7
1520	2	2	1	19	7	35	44	7	12
1530	2	2	1	17	8	27	62	14	4
1540	2	2	1	18	8	37	74	15	11
1550	2	2	1	17	5	32	2.77143	11	0
1560	2	2	1	17	7	43	62	7	12
1570	2	2	1	14	5	31	62	10	1
1580	2	2	1	17	6	31	70	13	6
1590	2	2	1	27	9	44	62	13	18
1600	2	2	1	11	7	29	26	12	3
1610	2	2	1	24	9	32	45	9	17
1620	2	2	1	18	6	37	74	6	15
1630	2	2	1	13	6	37	44	12	4
1640	2	2	1	19	8	38	19	12	12
1650	2	2	1	19	5	41	62	14	6
1660	2	2	1	22	8	36	33	12	17
1670	2	2	1	16	7	22	65	9	14
1680	2	2	1	25	7	39	62	9	11
1690	2	2	1	15	6	35	2.77143	9	7
1700	2	2	1	19	7	36	39	10	11
1710	2	2	1	14	7	29	61	15	11
1720	2	2	1	20	7	44	16	10	10
1730	2	2	1	18	7	41	11	13	7
1740	2	2	1	18	9	25	13	12	19
1750	2	2	1	18	7	23	61	6	18
1760	2	2	1	10	6	49	2.77143	5.5	3
1770	2	2	1	11	7	35	77	11	14
1780	2	2	1	21	6	42	44	17	6
1790	2	2	1	21	7	31	0	11	19
1800	2	2	1	14	7	35	44	8	11
1810	2	2	1	17	 	40	62	14	6
1820	2	2	1	19	8	32	62	8	12
1830	2	2	1	16	8	33	62	12	11
1840	2	2	1	15	6	33	74	16	11
1850	2	2	1	20	6	37	61	11	8
1860	2	2	1	13	7	24	77	15	10
1870	2	2	1	13	5	36	62	13	2
1880	2	2	1	21	5	32	0	5	10
1890	2	2	1	19	9	40	62	8	9
1900	2	2	1	16	5	28	40	9	5
1910	2	2	1	21	6	39	61	10	12
1920	2	2	1	14	8	32	66	12	6
1930	2	2	1	19	8	37	49	16	13
1940	2	2	1	10	6	42	19	14	10
1950	2	2	1	12	8	42	62	15	9
1960	2	2	1	9	5	41	62	11	9
1970	2	2	1	15	7	46	15	17	6
1980	2	2	1	18	5	33	15	10.5	10
1990	2	2	1	24	10	40	0	7	12
2000	2	2	1	16	7	34	17	9	15
2010	2	2	1	10	7	44	48	7	5
2020	2	2	1	16	7	33	34	12	0
2030	2	2	1	17	6	41	62	14	5
2040	2	2	1	18	6	40	27	11	6
2050	2	2	1	13	5	30	75	12	0
2060	2	2	1	17	6	32	2.77143	3	5
2070	2	2	1	10	6	40	65	12	17
2080	2	2	1	11	6	32	62	9	1
2090	2	2	1	20	7	40	62	9	7
2100	2	2	1	17	6	30	53	13	10
2110	2	2	1	16	5	45	65	14	1
2120	2	2	1	17	9	36	62	13	16
2130	2	2	1	20	9	30	2.77143	11	10
2140	2	2	1	13	9	32	2.77143	15	17
2150	2	2	1	15	6	40	72	13	2
2160	2	2	1	19	9	45	2.77143	8	17
2170	2	2	1	26	6	35	11	3	7
2180	2	2	1	28	6	40	44	5	23
2190	2	2	1	17	8	31	51	16	2
2200	2	2	1	11	7	26	2.77143	17.5	6
2210	2	2	1	14	7	36	40	16	3
2220	2	2	1	18	7	26	2.77143	10	7
2230	2	2	1	16	9	36	2.77143	17	12
2240	2	2	1	17	5	41	62	14	6
2250	2	2	1	17	7	35	2.77143	6	8
2260	2	2	1	14	6	32	11	13	3
2270	2	2	1	19	7	45	53	11	9
2280	2	2	1	15	5	41	48	13	10
2290	2	2	1	14	6	41	16	16	13
2300	2	2	1	14	5	32	81	14	9
2310	2	2	1	21	6	34	41	16	13
2320	2	2	1	15	7	28	62	9	13
2330	2	2	1	13	7	44	39	16	13
2340	2	2	1	12	6	28	62	14	8
2350	2	2	1	10	7	46	37	7	8
2360	2	2	1	17	6	36	19	9	11
2370	2	2	1	15	7	26	16	8	8
2380	2	2	1	14	7	42	49	12	11
2390	2	2	1	18	7	31	55	10	14
2400	2	2	1	15	7	33	62	13	19
2410	2	2	1	15	5	35	0	12	12
2420	2	2	1	14	5	39	66	3	17
2430	2	2	1	20	9	35	2.77143	13.5	6
2440	2	2	1	13	6	40	41	15	6
2450	2	2	1	23	9	43	27	5	11
2460	2	2	1	15	7	39	2.77143	12	3
2470	2	2	1	18	7	37	19	11	7
2480	2	2	1	18	5	36	80	10	15
2490	2	2	1	15	5	42	80	13.5	2
2500	2	2	1	17	6	35	65	7	7
2510	2	2	1	16	6	45	52	9	4
2520	2	2	1	20	6	50	40	12	18
2530	2	2	1	17	6	38	62	13	11
2540	3	1	2	18	7	24	62	13	13
2550	3	1	2	18	9	38	15	18	14
2560	3	1	2	11	7	24	66	11.5	14
2570	3	1	2	10	7	27	64	10	3
2580	3	1	2	18	5	29	2.77143	14.5	4
2590	3	1	2	14	7	30	58	8	13
2600	3	1	2	12	7	35	44	20	16
2610	3	1	2	10	7	27	16	18	12
2620	3	1	2	15	9	37	2.77143	14	8
2630	3	1	2	14	5	23	62	14	7
2640	3	1	2	11	5	33	62	10	7
2650	3	1	2	13	5	35	75	13	8
2660	3	1	2	9	5	29	62	11	7
2670	3	1	2	16	7	37	72	7	7
2680	3	1	2	13	5	23	65	10	4
2690	3	1	2	14	8	35	44	13	10
2700	3	1	2	19	6	23	80	13	11
2710	3	1	2	10	6	34	51	10	1
2720	3	1	2	17	7	30	2.77143	12	10
2730	3	1	2	13	6	35	71	14	7
2740	3	1	2	13	6	25	62	7	6
2750	3	1	2	12	5	31	17	8	4
2760	3	1	2	24	8	29	62	8	21
2770	3	1	2	13	5	35	62	14	1
2780	3	1	2	15	8	27	2.77143	10	7
2790	3	1	2	10	6	24	2.77143	8	4
2800	3	1	2	10	7	18	39	16	6
2810	3	1	2	11	6	25	65	11	5
2820	3	1	2	17	8	21	2.77143	13	9
2830	3	1	2	11	6	30	75	16	11
2840	3	1	2	9	6	28	2.77143	9	7
2850	3	1	2	12	5	35	42	22	2
2860	3	1	2	26	7	43	80	14	21
2870	3	1	2	13	8	29	62	11	4
2880	3	1	2	10	7	26	2.77143	11	7
2890	3	1	2	16	6	27	74	9	5
2900	4	2	2	16	5	42	15	13	6
2910	4	2	2	8	6	29	77	17	11
2920	4	2	2	12	5	32	80	9	8
2930	4	2	2	10	6	41	52	14	3
2940	4	2	2	13	6	34	65	4	3
2950	4	2	2	9	9	34	62	11	10
2960	4	2	2	13	6	37	38	11	4
2970	4	2	2	21	8	26	2.77143	11	12
2980	4	2	2	10	7	27	62	17	14
2990	4	2	2	16	5	39	52	15	16
3000	4	2	2	13	5	30	17	11	10
3010	4	2	2	14	6	26	62	14	7
3020	4	2	2	10	5	38	62	14	2
3030	4	2	2	11	5	32	0	19	11
3040	4	2	2	17	7	40	49	14	1
3050	4	2	2	13	6	33	52	13	11
3060	4	2	2	11	7	38	49	16	6
3070	4	2	2	13	6	26	15	16	2
3080	4	2	2	12	5	28	2.77143	11	7
3090	4	2	2	20	7	36	21	11	7
3100	4	2	2	16	10	26	2.77143	7	17
3110	4	2	2	11	5	50	62	16	5
3120	4	2	2	14	6	32	71	11	1
3130	4	2	2	11	8	26	2.77143	13	12
3140	4	2	2	8	7	24	62	14	2
3150	4	2	2	11	6	31	39	15	5
3160	4	2	2	16	6	43	8	13	2
3170	4	2	2	16	6	43	74	16	12
3180	4	2	2	10	6	32	72	16	2
3190	4	2	2	11	7	33	62	11.5	7
3200	4	2	2	18	7	33	59	14	9
3210	4	2	2	14	5	18	66	14	2
3220	4	2	2	17	8	37	71	12	12
3230	4	2	2	17	6	31	49	16	5
3240	4	2	2	18	10	26	16	10	4
3250	4	2	2	12	5	33	2.77143	9	1
3260	4	2	2	15	9	38	52	11	17
3270	4	2	2	9	8	28	2.77143	12	13
3280	4	2	2	14	7	31	62	16	8
3290	4	2	2	16	5	44	38	16	9
3300	4	2	2	13	6	37	2.77143	15	5
3310	4	2	2	16	7	43	19	20	13
3320	4	2	2	8	5	29	62	10	4
3330	4	2	2	11	6	27	65	15	3
3340	4	2	2	12	6	33	70	15	8
3350	4	2	2	12	8	49	62	3	1
3360	4	2	2	15	7	42	39	12	9
3370	4	2	2	15	7	32	44	14	5
3380	4	2	2	16	8	24	62	17	10
3390	4	2	2	21	7	41	45	18	14
3400	4	2	2	18	6	37	0	13	15
3410	4	2	2	15	6	29	2.77143	17	6
3420	4	2	2	11	5	34	51	12	6
3430	4	2	2	14	5	25	2.77143	11	1
3440	4	2	2	12	5	22	2.77143	9	2
3450	4	2	2	12	5	24	62	19	8
3460	4	2	2	12	6	27	0	14	7
3470	4	2	2	8	5	36	27	20	3
3480	4	2	2	18	7	33	62	15	3
3490	4	2	2	11	6	23	60	7	4
3500	4	2	2	14	5	35	44	16	14
3510	4	2	2	16	8	35	49	14	11
3520	4	2	2	15	7	30	62	13	9
3530	4	2	2	14	8	28	39	15	11
3540	4	2	2	14	7	21	7	15	7
3550	4	2	2	9	6	43	74	15	8
3560	4	2	2	11	8	22	77	7	8
3570	4	2	2	12	7	26	40	9	6
3580	4	2	2	11	7	38	61	12	1
3590	4	2	2	13	7	38	60	13	18
3600	4	2	2	18	5	39	78	14	8
3610	4	2	2	15	6	35	77	16	9
3620	4	2	2	11	8	27	62	12	8
3630	4	2	2	10	7	42	39	10.5	9
3640	4	2	2	11	6	36	2.77143	8	0
3650	4	2	2	10	6	35	22	18	12
3660	4	2	2	14	8	39	33	15	9
3670	4	2	2	15	7	41	62	6	7
3680	4	2	2	18	5	34	74	11	3
3690	4	2	2	12	6	28	8	14	10
3700	4	2	2	13	5	36	2.77143	11	6
3710	4	2	2	13	7	35	62	14	1
3720	4	2	2	20	9	32	52	14	16
3730	4	2	2	15	8	42	49	15	17
3740	4	2	2	15	7	33	80	19	11
3750	4	2	2	12	5	34	62	16	12
3760	4	2	2	11	6	29	2.77143	14	4
3770	4	2	2	8	5	36	58	14	5
3780	4	2	2	11	7	41	2.77143	13	8
