subno	house	age	nights	nightleq	latency	annoy	site1	site2
221	11	42	15	73.7	1	0	1	0
221	11	42	16	77	1	0	1	0
221	11	42	17	76.8	1	0	1	0
221	11	42	18	90.5	1	3	1	0
221	11	42	21	70.2	3	0	1	0
221	11	42	24	72.3	1	0	1	0
221	11	42	25	89.6	1	0	1	0
221	11	42	26	75.2	1	0	1	0
223	13	30	2	72.8	2	0	1	0
223	13	30	3	86.6	2	4	1	0
223	13	30	4	78.7	2	4	1	0
223	13	30	5	82.8	2	4	1	0
223	13	30	6	80.2	2	4	1	0
223	13	30	7	71.2	2	0	1	0
223	13	30	8	74	2	0	1	0
223	13	30	9	70.9	2	0	1	0
223	13	30	10	72.5	2	0	1	0
223	13	30	11	80.4	3	4	1	0
223	13	30	12	76.3	2	4	1	0
223	13	30	13	71.7	2	4	1	0
223	13	30	14	71	2	0	1	0
223	13	30	20	87.6	2	4	1	0
223	13	30	22	72.2	2	0	1	0
223	13	30	23	79.2	2	0	1	0
224	13	30	2	73.1	3	0	1	0
224	13	30	3	86.6	4	2	1	0
224	13	30	4	78.8	2	2	1	0
224	13	30	5	82.8	1	2	1	0
224	13	30	6	80.1	2	3	1	0
224	13	30	7	66.9	1	0	1	0
224	13	30	8	72.1	1	0	1	0
224	13	30	9	70.7	1	0	1	0
224	13	30	12	75	2	2	1	0
224	13	30	13	72.2	3	2	1	0
224	13	30	17	89.3	3	5	1	0
224	13	30	19	92.6	2	5	1	0
224	13	30	20	87.6	2	4	1	0
224	13	30	24	81.9	1	0	1	0
224	13	30	25	72.7	3	0	1	0
224	13	30	26	75.5	1	0	1	0
301	16	58	3	69.5	3	1	0	0
301	16	58	5	79.2	3	1	0	0
301	16	58	9	72	1	0	0	0
301	16	58	12	75.9	1	0	0	0
301	16	58	15	77.6	1	0	0	0
301	16	58	16	74.7	2	0	0	0
301	16	58	17	75	2	0	0	0
301	16	58	19	74.9	2	0	0	0
302	16	56	2	74.3	1	1	0	0
302	16	56	3	69.1	1	1	0	0
302	16	56	4	72.1	1	1	0	0
302	16	56	5	70.5	1	1	0	0
302	16	56	6	73	1	1	0	0
302	16	56	9	67.3	1	0	0	0
302	16	56	10	65.5	2	0	0	0
302	16	56	11	70.9	1	0	0	0
302	16	56	12	71.1	2	0	0	0
302	16	56	13	72.5	1	1	0	0
302	16	56	14	72.1	2	1	0	0
302	16	56	15	79.6	1	0	0	0
302	16	56	16	64.5	2	0	0	0
302	16	56	17	63.4	1	0	0	0
302	16	56	18	84.5	1	0	0	0
302	16	56	19	68.5	1	0	0	0
303	17	71	4	68.2	2	0	0	0
303	17	71	6	69.5	2	0	0	0
303	17	71	7	69.6	2	0	0	0
303	17	71	11	70.3	1	0	0	0
303	17	71	12	67.1	2	0	0	0
303	17	71	16	68.5	1	0	0	0
303	17	71	18	65.2	1	0	0	0
303	17	71	19	68.6	1	0	0	0
303	17	71	20	67.2	1	0	0	0
303	17	71	21	68.5	1	0	0	0
304	17	71	2	71.1	1	2	0	0
304	17	71	3	69.9	1	2	0	0
304	17	71	5	68.1	1	2	0	0
304	17	71	6	70.3	1	2	0	0
304	17	71	7	72.3	4	3	0	0
304	17	71	8	66.6	1	3	0	0
304	17	71	9	67.1	2	0	0	0
304	17	71	10	66.9	1	0	0	0
304	17	71	11	73.4	1	0	0	0
304	17	71	12	69.5	2	0	0	0
304	17	71	13	66	2	2	0	0
304	17	71	14	64	2	2	0	0
304	17	71	15	71.5	1	2	0	0
304	17	71	16	67.9	1	0	0	0
304	17	71	17	70.6	1	0	0	0
304	17	71	18	66.7	1	0	0	0
304	17	71	19	65.7	2	0	0	0
304	17	71	20	66.9	1	0	0	0
304	17	71	21	70.2	1	2	0	0
305	18	72	2	76.3	1	0	0	0
305	18	72	3	73.5	1	0	0	0
305	18	72	4	75	2	3	0	0
305	18	72	5	75.2	1	3	0	0
305	18	72	6	74.9	1	1	0	0
305	18	72	7	77.8	2	1	0	0
305	18	72	8	74.5	1	2	0	0
305	18	72	9	75	2	2	0	0
305	18	72	10	71.5	1	2	0	0
305	18	72	11	76	1	2	0	0
305	18	72	12	74.7	1	2	0	0
305	18	72	13	75.1	1	2	0	0
305	18	72	14	74.2	1	2	0	0
305	18	72	15	73.5	1	2	0	0
305	18	72	16	75.5	1	2	0	0
305	18	72	17	77.6	1	3	0	0
305	18	72	18	78.1	1	3	0	0
305	18	72	19	73.7	1	3	0	0
305	18	72	20	75	1	3	0	0
305	18	72	21	75.6	1	3	0	0
306	18	63	2	73	2	1	0	0
306	18	63	3	68.4	1	1	0	0
306	18	63	4	68.7	2	1	0	0
306	18	63	6	73.8	1	3	0	0
306	18	63	7	78.3	1	3	0	0
306	18	63	8	68.4	1	0	0	0
306	18	63	9	72.1	1	0	0	0
306	18	63	10	68.3	1	0	0	0
306	18	63	13	73.7	2	1	0	0
306	18	63	14	71.7	1	1	0	0
306	18	63	15	69.4	1	0	0	0
306	18	63	16	74.9	1	1	0	0
306	18	63	17	75.7	1	2	0	0
306	18	63	18	78.1	1	2	0	0
306	18	63	20	74.7	1	1	0	0
306	18	63	21	74.1	1	4	0	0
307	19	22	2	82.5	2	2	0	0
307	19	22	8	69.9	3	2	0	0
307	19	22	13	72.1	2	2	0	0
308	19	19	3	77.8	2	2	0	0
308	19	19	7	79.6	2	2	0	0
308	19	19	8	70.7	2	2	0	0
308	19	19	9	72.9	3	1	0	0
308	19	19	10	69.3	3	1	0	0
308	19	19	17	80.1	2	5	0	0
308	19	19	18	76.8	2	5	0	0
308	19	19	20	75.3	2	5	0	0
309	19	44	2	80.9	2	3	0	0
309	19	44	5	81.2	1	2	0	0
309	19	44	6	79.8	2	1	0	0
309	19	44	11	76.5	3	1	0	0
309	19	44	13	70.8	2	2	0	0
309	19	44	14	69.2	2	2	0	0
309	19	44	15	71.5	1	2	0	0
309	19	44	17	81.2	1	1	0	0
309	19	44	18	79.2	1	1	0	0
310	19	44	2	81	3	2	0	0
310	19	44	6	79.7	2	1	0	0
310	19	44	14	69.2	2	1	0	0
310	19	44	15	71	2	1	0	0
310	19	44	16	78.7	1	0	0	0
310	19	44	18	79.3	3	1	0	0
312	20	58	2	86.7	1	2	0	0
312	20	58	3	89	1	2	0	0
312	20	58	6	86.7	1	2	0	0
312	20	58	7	87.1	1	1	0	0
312	20	58	8	86.7	1	0	0	0
312	20	58	9	86.3	1	0	0	0
312	20	58	13	82.8	2	0	0	0
312	20	58	15	84.3	1	0	0	0
312	20	58	16	83.6	2	0	0	0
312	20	58	21	82.3	1	0	0	0
313	20	33	3	89.8	2	1	0	0
313	20	33	7	88	2	1	0	0
313	20	33	10	86.4	1	0	0	0
314	21	36	2	62.8	4	2	0	0
314	21	36	3	63.5	3	2	0	0
314	21	36	5	64.1	2	4	0	0
314	21	36	6	63.9	4	3	0	0
314	21	36	7	64.8	2	4	0	0
314	21	36	8	67.5	3	2	0	0
314	21	36	9	64.6	2	2	0	0
314	21	36	10	65.2	2	3	0	0
314	21	36	11	68	3	2	0	0
315	21	39	2	66.1	2	3	0	0
315	21	39	3	63.4	2	2	0	0
315	21	39	4	67.2	1	3	0	0
315	21	39	5	64.2	1	2	0	0
315	21	39	6	64.8	1	3	0	0
315	21	39	7	66.5	3	3	0	0
315	21	39	8	65	3	3	0	0
315	21	39	9	66.5	1	3	0	0
315	21	39	10	67.4	1	3	0	0
315	21	39	11	66.3	1	3	0	0
315	21	39	12	66	3	2	0	0
315	21	39	13	68.7	2	2	0	0
315	21	39	16	67.4	2	3	0	0
317	23	78	2	79.8	1	2	0	0
317	23	78	3	80.3	3	3	0	0
317	23	78	6	78.4	1	3	0	0
317	23	78	7	77.2	3	2	0	0
317	23	78	8	78.6	2	4	0	0
317	23	78	10	83.9	1	0	0	0
317	23	78	14	83.4	1	1	0	0
317	23	78	15	80.8	1	1	0	0
317	23	78	17	77.4	2	4	0	0
317	23	78	19	84.2	3	4	0	0
317	23	78	22	79.6	2	3	0	0
317	23	78	23	80.8	1	2	0	0
317	23	78	24	82.8	2	4	0	0
317	23	78	26	83.5	1	3	0	0
317	23	78	28	81.9	1	1	0	0
317	23	78	29	78	1	1	0	0
317	23	78	31	79.5	1	2	0	0
317	23	78	32	81.6	1	4	0	0
317	23	78	33	83.1	4	4	0	0
317	23	78	35	80	1	3	0	0
318	23	72	2	77.5	3	2	0	0
318	23	72	3	80.7	1	1	0	0
318	23	72	6	78.1	3	1	0	0
318	23	72	7	77.2	5	1	0	0
318	23	72	8	77.4	5	4	0	0
318	23	72	10	82.8	3	2	0	0
318	23	72	11	78.4	5	1	0	0
318	23	72	13	77.5	5	1	0	0
318	23	72	14	83.4	3	1	0	0
318	23	72	15	77.3	3	1	0	0
318	23	72	17	77.3	3	0	0	0
318	23	72	19	84.2	5	4	0	0
318	23	72	22	78.3	3	3	0	0
318	23	72	23	80.5	4	3	0	0
318	23	72	24	82.7	4	2	0	0
318	23	72	26	83.2	5	2	0	0
318	23	72	28	81.9	3	1	0	0
318	23	72	29	77.7	3	1	0	0
318	23	72	31	79.5	3	1	0	0
318	23	72	32	80.9	3	1	0	0
318	23	72	33	70.5	3	4	0	0
318	23	72	34	80.7	4	2	0	0
318	23	72	35	79.8	3	2	0	0
319	24	61	3	76.2	1	1	0	0
319	24	61	4	78.5	1	1	0	0
319	24	61	5	76.7	1	1	0	0
319	24	61	7	73.4	1	1	0	0
319	24	61	8	73.7	2	0	0	0
319	24	61	9	74.1	1	0	0	0
319	24	61	10	74.5	2	0	0	0
319	24	61	11	69.4	1	0	0	0
319	24	61	13	78.5	1	0	0	0
319	24	61	14	74.3	1	0	0	0
319	24	61	15	76.8	1	0	0	0
319	24	61	16	78.4	1	0	0	0
319	24	61	21	72.9	1	1	0	0
319	24	61	22	75	1	1	0	0
320	24	59	3	76.2	2	1	0	0
320	24	59	4	78.5	1	1	0	0
320	24	59	5	76.7	3	1	0	0
320	24	59	7	73.3	1	1	0	0
320	24	59	8	73.6	1	1	0	0
320	24	59	9	74.1	1	1	0	0
320	24	59	11	69.3	1	1	0	0
320	24	59	13	75.4	1	1	0	0
320	24	59	14	74.6	1	1	0	0
320	24	59	15	76.8	1	2	0	0
320	24	59	16	78.7	1	2	0	0
320	24	59	18	71.9	1	2	0	0
320	24	59	19	73.9	1	2	0	0
320	24	59	20	77.1	1	2	0	0
320	24	59	21	73.1	1	2	0	0
320	24	59	22	75.3	1	2	0	0
322	26	75	5	67.5	2	1	0	0
322	26	75	6	65.2	2	1	0	0
322	26	75	8	66.7	2	0	0	0
322	26	75	12	65.7	2	1	0	0
322	26	75	13	66.8	2	1	0	0
322	26	75	15	69.2	2	1	0	0
322	26	75	16	63.7	2	2	0	0
322	26	75	20	67.5	2	1	0	0
323	26	65	6	65.2	3	1	0	0
323	26	65	8	68.9	2	1	0	0
323	26	65	13	66.6	 	4	0	0
324	27	56	2	74.7	1	2	0	0
324	27	56	5	66.1	1	2	0	0
324	27	56	6	73.5	4	2	0	0
324	27	56	7	63.7	1	2	0	0
324	27	56	8	69.6	1	2	0	0
324	27	56	9	69.9	1	2	0	0
324	27	56	10	76.2	1	2	0	0
324	27	56	11	74.5	1	2	0	0
324	27	56	12	66	1	3	0	0
324	27	56	13	69.2	1	2	0	0
324	27	56	14	72.9	1	2	0	0
324	27	56	15	72	1	2	0	0
324	27	56	16	67.2	1	2	0	0
324	27	56	19	67	1	2	0	0
324	27	56	20	65.3	1	2	0	0
324	27	56	21	71.6	1	2	0	0
324	27	56	26	72.4	5	2	0	0
324	27	56	27	78.5	1	2	0	0
324	27	56	30	72.2	1	2	0	0
324	27	56	33	63.4	1	3	0	0
325	27	47	4	68.7	1	2	0	0
325	27	47	5	74.8	2	2	0	0
325	27	47	6	67.9	1	2	0	0
325	27	47	7	73	1	2	0	0
325	27	47	8	67.3	1	0	0	0
325	27	47	9	70.1	1	0	0	0
325	27	47	10	69.8	2	1	0	0
325	27	47	12	68.7	1	2	0	0
325	27	47	14	66.5	1	2	0	0
325	27	47	15	68.6	2	0	0	0
325	27	47	16	71.4	1	0	0	0
325	27	47	22	69.6	1	0	0	0
325	27	47	23	72.6	1	0	0	0
325	27	47	24	73.5	1	0	0	0
325	27	47	26	73.6	1	0	0	0
325	27	47	27	74.8	1	0	0	0
325	27	47	28	70	1	0	0	0
325	27	47	29	67.2	1	0	0	0
325	27	47	30	73.9	1	0	0	0
325	27	47	34	69.7	1	2	0	0
326	28	49	2	67.4	5	3	0	0
326	28	49	3	70.9	2	2	0	0
326	28	49	8	68.7	2	0	0	0
326	28	49	16	71.8	3	2	0	0
327	28	43	2	66.7	5	1	0	0
327	28	43	3	72.5	5	1	0	0
327	28	43	8	71.9	4	1	0	0
327	28	43	9	72.2	5	1	0	0
327	28	43	16	72.3	5	2	0	0
327	28	43	17	69.8	5	2	0	0
328	29	44	2	68.7	2	2	0	0
328	29	44	3	68.7	2	2	0	0
328	29	44	5	69.6	2	1	0	0
328	29	44	7	71.6	3	3	0	0
328	29	44	8	69.2	2	2	0	0
328	29	44	10	73.1	2	1	0	0
328	29	44	14	72.6	2	1	0	0
328	29	44	15	76.9	2	2	0	0
328	29	44	18	70.5	2	1	0	0
328	29	44	21	70.4	2	1	0	0
328	29	44	23	76.2	2	2	0	0
328	29	44	27	72.5	2	1	0	0
328	29	44	28	74.1	2	1	0	0
328	29	44	30	72.7	3	2	0	0
328	29	44	34	76.6	3	4	0	0
329	29	68	2	68.3	2	1	0	0
329	29	68	7	71.5	3	3	0	0
329	29	68	10	72.8	1	1	0	0
329	29	68	14	72.7	1	1	0	0
329	29	68	15	76.8	1	1	0	0
329	29	68	16	72.2	1	1	0	0
329	29	68	20	74.3	2	3	0	0
329	29	68	21	70.4	1	1	0	0
329	29	68	23	76	1	3	0	0
329	29	68	28	74.1	1	3	0	0
329	29	68	30	72.9	1	3	0	0
329	29	68	34	76.5	1	4	0	0
330	30	27	2	65.3	1	1	0	0
330	30	27	3	67	2	1	0	0
330	30	27	5	66.7	1	1	0	0
330	30	27	6	75	1	1	0	0
330	30	27	7	68.2	1	1	0	0
330	30	27	8	72.3	1	0	0	0
330	30	27	10	68.1	1	2	0	0
330	30	27	12	67.1	1	1	0	0
330	30	27	13	67.1	1	1	0	0
330	30	27	14	67.2	1	1	0	0
330	30	27	15	69.5	1	0	0	0
330	30	27	16	67.9	1	0	0	0
330	30	27	17	68	1	0	0	0
330	30	27	18	67.9	1	0	0	0
330	30	27	20	66.5	2	0	0	0
330	30	27	21	68.7	1	0	0	0
330	30	27	22	67.6	1	0	0	0
330	30	27	23	67.5	2	0	0	0
330	30	27	24	72	1	0	0	0
330	30	27	25	69.7	1	0	0	0
330	30	27	26	66.6	1	1	0	0
330	30	27	27	69.3	2	1	0	0
330	30	27	29	68.8	1	0	0	0
330	30	27	30	61.8	1	0	0	0
330	30	27	31	70.3	1	0	0	0
330	30	27	32	68.2	1	0	0	0
330	30	27	33	67.6	1	0	0	0
330	30	27	34	74.1	1	2	0	0
331	30	27	2	65.8	2	1	0	0
331	30	27	3	66.9	1	1	0	0
331	30	27	5	82	1	1	0	0
331	30	27	6	75.2	1	1	0	0
331	30	27	7	68.3	1	1	0	0
331	30	27	8	74.6	1	0	0	0
331	30	27	10	74.2	1	1	0	0
331	30	27	12	67.9	1	1	0	0
331	30	27	13	67.6	1	1	0	0
331	30	27	14	67.7	1	1	0	0
331	30	27	15	69.5	2	0	0	0
331	30	27	16	68.3	1	0	0	0
331	30	27	17	68	1	0	0	0
331	30	27	18	66.9	1	1	0	0
331	30	27	20	68.9	1	1	0	0
331	30	27	21	65.9	1	1	0	0
331	30	27	22	69.3	1	0	0	0
331	30	27	23	68.1	1	1	0	0
331	30	27	24	72.1	1	1	0	0
331	30	27	25	70.1	1	1	0	0
331	30	27	26	67.7	2	1	0	0
331	30	27	27	70.9	1	1	0	0
331	30	27	28	68.5	1	1	0	0
331	30	27	29	69.7	2	0	0	0
331	30	27	30	72.9	1	1	0	0
331	30	27	31	70.3	2	1	0	0
331	30	27	32	67.5	1	1	0	0
331	30	27	33	67.6	2	1	0	0
331	30	27	34	74.1	1	2	0	0
408	38	31	2	61.6	2	3	0	1
408	38	31	3	67.4	5	3	0	1
408	38	31	4	67.4	2	3	0	1
408	38	31	5	68.1	3	3	0	1
408	38	31	6	63.9	2	3	0	1
408	38	31	8	62.4	1	0	0	1
408	38	31	10	67.9	2	4	0	1
408	38	31	11	65	2	4	0	1
408	38	31	12	68.2	2	4	0	1
408	38	31	13	74.3	2	4	0	1
408	38	31	14	68	1	4	0	1
408	38	31	17	68.4	1	0	0	1
408	38	31	18	68.7	1	0	0	1
408	38	31	19	71.6	1	0	0	1
408	38	31	20	68.5	3	0	0	1
408	38	31	21	65.7	1	0	0	1
408	38	31	22	66.5	1	0	0	1
408	38	31	24	65.6	2	0	0	1
408	38	31	25	60.6	2	0	0	1
408	38	31	26	67.6	1	0	0	1
408	38	31	27	67.3	1	0	0	1
409	38	39	2	62.3	5	0	0	1
409	38	39	3	67.8	5	0	0	1
409	38	39	4	63.4	3	0	0	1
409	38	39	5	67.8	4	0	0	1
409	38	39	6	64.1	4	0	0	1
409	38	39	7	64.7	3	0	0	1
409	38	39	8	61.6	2	0	0	1
409	38	39	9	61.6	3	0	0	1
409	38	39	10	64.2	1	0	0	1
409	38	39	11	63.6	2	0	0	1
409	38	39	12	67.8	1	0	0	1
409	38	39	13	74.8	1	0	0	1
409	38	39	14	68.1	1	0	0	1
409	38	39	15	66.9	1	0	0	1
409	38	39	16	63.2	3	0	0	1
409	38	39	17	66.7	2	0	0	1
409	38	39	18	69.6	1	0	0	1
409	38	39	19	71.6	1	2	0	1
409	38	39	20	68.4	1	2	0	1
409	38	39	21	65.8	1	2	0	1
409	38	39	22	66.1	1	0	0	1
409	38	39	24	65.6	2	0	0	1
409	38	39	25	67.3	1	0	0	1
409	38	39	27	67.5	1	0	0	1
415	42	28	2	66.9	1	1	0	1
415	42	28	3	68.6	1	1	0	1
415	42	28	4	69.5	4	1	0	1
415	42	28	5	69.2	1	1	0	1
415	42	28	6	69.9	1	1	0	1
415	42	28	7	71.5	4	1	0	1
415	42	28	9	71.1	3	1	0	1
415	42	28	10	70.6	1	1	0	1
415	42	28	11	70.7	2	1	0	1
415	42	28	12	70.6	1	1	0	1
415	42	28	13	67.9	1	1	0	1
415	42	28	17	72.9	2	1	0	1
415	42	28	18	71.6	1	1	0	1
415	42	28	19	77.1	1	1	0	1
415	42	28	20	72.9	1	1	0	1
